Treatments,RGP,RGR,RGI,RVI,RSL,RRL,RSFW,RRFW,RSDW,RRDW
HP,1.23a,1.33a,1.58a,2.35ef,1.03d,2.29c,1.48ab,1.57c,1.29e,1.56b
25 mM NaCl,1.00ab,1.11ab,1.59a,3.47bcd,1.06d,2.24c,1.61ab,2.31bc,1.72cde,2.37ab
50 mM NaCl,1.18a,1.22ab,1.67a,3.55bc,1.61abc,2.40bc,1.81ab,2.24bc,2.29bc,1.86ab
100 mM NaCl,0.71b,0.83c,0.97b,1.47f,1.04d,1.32d,1.35b,1.58c,1.49de,1.50b
5 mM Pro,1.06ab,1.06bc,1.38ab,2.50de,1.28bcd,3.37a,1.73ab,1.93bc,1.54de,2.11ab
10 mM Pro,1.18a,1.17ab,1.54ab,3.22bcde,1.51abcd,3.35a,2.02a,2.21bc,1.91bcde,2.51ab
20 mM Pro,1.18a,1.22ab,1.49ab,2.64cde,1.17cd,3.24ab,1.75ab,1.88c,1.64cde,2.04ab
10% PEG,1.23a,1.17ab,1.69a,3.23bcde,1.81a,3.29ab,1.63ab,3.30a,2.52ab,2.90a
20% PEG,1.29a,1.22ab,1.72a,5.33a,1.95a,3.28ab,2.07a,2.97ab,3.09a,2.17ab
30% PEG,1.35a,1.28ab,1.81a,5.06a,1.65abc,2.86abc,1.58ab,2.02c,1.83bcde,1.60b
1 mM TU,1.12a,1.11ab,1.44ab,2.54de,1.65abc,2.39c,1.60ab,1.88c,1.83bcde,1.71b
3 mM TU,1.29a,1.33a,1.77a,3.91b,1.77ab,2.84abc,1.85ab,2.33bc,2.17bcd,2.58ab
5 mM TU,1.23a,1.33a,1.68a,3.36bcd,1.76ab,2.52abc,1.88ab,2.12c,2.19bcd,2.22ab
