Accession,Study title,Assay type,Refs.
GLDS-7,The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root hypocotyl and shoot responses to the orbital environment,Microarray,44
GLDS-17,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,Microarray,37
GLDS-37,"Comparison of the spaceflight transcriptome of four commonly usedArabidopsis thalianaecotypes (Col, Ws, Ler and Cvi)",RNA-seq,38
GLDS-38,Proteomics and transcriptomics analysis of Arabidopsis seedlings in microgravity,RNA-seq,39
GLDS-44,Transcriptomics analysis of etiolatedArabidopsis thalianaseedlings in response to microgravity,Microarray,41
GLDS-46,Gamma radiation and HZE treatment of seedlings in Arabidopsis,Microarray,60
GLDS-120,Genetic dissection of the spaceflight transcriptome responses in plants: are some responses unnecessary?,RNA-seq,50
GLDS-121,Biological Research in Canisters-16 (BRIC-16): investigations of the plant cytoskeleton in microgravity with gene profiling and cytochemistry,Microarray,40
GLDS-136,Dissecting low atmospheric pressure stress: transcriptome responses to the components of hypobaria in Arabidopsis,Microarray,61
GLDS-147,Arg1 functions in the physiological adaptation of undifferentiated plant cells to spaceflight,Microarray,51
GLDS-205,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,Microarray,62
GLDS-208,Comparative gene expression analysis in theArabidopsis thalianaroot apex using RNA-seq and microarray transcriptome profiles,Microarray and RNA-seq,36
GLDS-213,A whole-genome microarray study ofArabidopsiscell cultures exposed to microgravity for 5 days on board of Shenzhou 8,Microarray,63
GLDS-218,Spaceflight-induced alternative splicing during seedling development inArabidopsis thaliana,RNA-seq,64
GLDS-251,RNA-seq analysis of the response ofArabidopsis thalianato fractional gravity under blue-light stimulation during spaceflight,RNA-seq,65
