ROS,Reactive Oxygen Species
SIRT1,Sirtuin 1
SRT2104,SIRT1 activator
CON,Control
HU,Hindlimb Unloading
Nox2,NADPH oxidase-2
H2O2,hydrogen peroxide
PGC-1α,peroxisome proliferator-activated receptor γ coactivator-1α
CS,Citrate synthase
CCO,cytochromecoxidase
FCR,flux control ratio
PCI,oxidative phosphorylation supported by complex I
PCI+II,maximal coupled oxidative phosphorylation
ECI+II,maximal noncoupled electron transfer
ECII,electron transfer supported by complex II only
SOD,Superoxide dismutase
GPx,glutathione peroxidase
ATP,adenosine triphosphate
MIM,mitochondrial isolation medium
