ICP,Intracranial hypertension
VIIP,Visual impairment intracranial pressure
µG,Microgravity
OLPs,Oligodendrocyte progenitors
SPC OLPs,Space flight oligodendrocyte progenitors
sim-µG,Simulated microgravity
OLs,Oligodendrocytes
CNS,Central nervous system
MS,Multiple sclerosis
BrdU,Bromodeoxyuridine
ISS,International Space Station
hiPS,Human induced pluripotent stem cells
CS83iCTR-33-n1,Fibroblasts
N2,"A supplement containing recombinant human insulin, human transferrin sodium selenite, putrescine and progesterone"
B-27,Trademark
OSM,Oligodendrocyte specification medium
IGF-1,Insulin Growth Factor 1
DMEM/F12,Dulbecco’s Modified Eagle Medium/Nutrient Mixture F-12
n= 5,Five biological replicate specimens per group
1G,Earth Gravity
UHPLC/MS,Ultra-High-Performance Liquid Chromatography/Mass Spectrometry
Q-value,False discovery rate
PCA,Principal Component Analysis
HCA,Hierarchical Clustering Analysis
STAaRS,Space Technology and Advanced Research System Experiment Facility 1
NASA,National Aeronautics and Space Administration
mSv,Millisieverts
mGy,Milligray
OCR,Oxygen consumption rate
ECAR,Extracellular acidification rate
mM,Millimolar
1G OLP 26D,Earth gravity Oligodendrocyte Progenitors kept for 26 days
SPC OLP 26D,Space flight Oligodendrocyte Progenitors kept for 26 days
OSM 26D,Oligodendrocyte specification medium kept for 26 days
TCA Cycle,Tricarboxylic Acid Cycle
BCAA,Branched-Chain Amino Acid
NAD,Nicotinamide adenine dinucleotide
FADH2,Flavin adenine dinucleotide
α-KG,α-Ketoglutarate
NH4,Ammonium
ATP,Adenosine tri-phosphate
DMF,Dimethyl-fumarate
MTR,Magnetization Transfer Ratio
NADH,Nicotinamide adenine dinucleotide (NAD) + hydrogen (H)
GS,Glutamate Synthetase
CSF,Cerebrospinal fluid
AMPA,α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid
NMDA,N-methyl-D-aspartate
FAS,Fatty acids
MTA,Material transfer agreement
