Characteristic,A. burdickiiIIF3SC-B10T,A. cheniae,A. bussei,A. antioxidans,A. agilis
Maximum tolerable NaCl (%) concentration,5,3,7.5,6.5,4.5
Maximum temperature for growth (°C),30,30,45,37,35
Oxidase activity,−,−,+,+,−
Maltose,−,+,+,+,+
Trehalose,−,+,+,+,+
Cellobiose,−,+,+,+,+
Turanose,−,+,+,+,+
Acetoacetic acid,−,+,+,+,+
Sucrose,−,+,−,( +),+
α-d-Glucose,−,+,−,+,+
Stachyose,+,−,+,( +),−
d-Galactose,+,+,−,+,+
3-Methyl-d-glucose,+,−,( +),+,+
l-Fucose,+,−,+,+,+
l-Rhamnose,−,+,+,+,−
d-Gluconic acid,+,+,−,+,+
Tween 40,+,+,−,( +),( +)
Propionic acid,+,+,−,+,−
Alkaline phosphatase,−,−,+,NT,+
Cystine arylamidase,+,+,+,NT,−
Acid phosphatase,−,−,−,NT,+
α-Galactosidase,−,−,+,NT,+
