Cluster Type,Known clusters,Arthrobacter burdickiiIIF3SC-B10T,Leifsonia virtsiiF6_8S_P_1AT,Leifsonia williamsiiF6_8S_P_1BT,Leifsonia williamsiiF6_8S_P_1C,Paenibacillus vandeheiiF6_3S_P_1CT,Sporosarcina highlanderaeF6_3S_P_2T
βlactone,Microansamycin,7,,,,,
Cyclic-lactone autoinducer,,,,,,Unknown,
Furan,,,,Unknown,Unknown,,
Guanidinotides,,,Unknown,,,,
Lanthipeptide-class-ii,Gramicidin S,,,,,15,
Lanthipeptide-class-iv,,,,,,,
Lassopeptide,Paeninodin,,,,,60,
Linaridin,,,,,,,
NAPAA,ε-Poly-l-lysine,,100,100,100,,
"NRP-metallophore, NRPS",bacillibactin,,,,,100,
Opine-like-metallophore,Bacillopaline,,,,,100,
Phosphonate,,,,,,,Unknown
Proteusin,,,,,,Unknown,
T3PKS,,,,,,,Unknown
,Alkylresorcinol,,100,100,100,,
,"Corynecin I, II, and III",,,,,13,
,Meridamycin,5,,,,,
Terpene,,,,,,Unknown,Unknown
,Carotenoid,,,,,33,
,TP-1161,25,,,,,
"Terpene, βlactone",Carotenoid,,28,28,28,,
