,WT HSC → WT,WT HSC →KitW/W-v
Total humerus,,
Length (mm),12.5 ± 0.1,12.7 ± 0.1
Bone volume (mm3),10.0 ± 0.2,9.6 ± 0.1
Midshaft humerus (cortical bone),,
Cross-sectional volume (mm3),0.19 ± 0.00,0.18 ± 0.00
Cortical volume (mm3),0.13 ± 0.00,0.12 ± 0.00
Marrow volume (mm3),0.06 ± 0.00,0.06 ± 0.00
Cortical thickness (µm),219 ± 3,211 ± 1
Ipolar(mm4),0.09 ± 0.00,0.08 ± 0.00
Distal humerus epiphysis (cancellous bone),,
Bone volume/tissue volume (%),33.9 ± 0.9,32.3 ± 1.0
Connectivity density (1/mm3),115.9 ± 8.3,116.6 ± 11.5
Trabecular number (1/mm),9.0 ± 0.6,8.2 ± 0.4
Trabecular thickness (µm),64 ± 1,63 ± 1
Trabecular spacing (µm),123 ± 3,130 ± 5
