Protocol,Time
Support Protocol 1: Isolation of epithelial cells from patient-derived tissues,3 days
Support Protocol 2: Growth and maintenance of primary human epithelial cells in monolayer culture,1 to 2 weeks
Support Protocol 3: PCR-based HPV screening of primary cell cultures,1 day
Basic Protocol 1: Establishing human primary cell derived 3D organotypic raft cultures,21 days
Support Protocol 4: Growth and maintenance of human A2EN cells as monolayer culture,1 to 2 weeks
Support Protocol 5: Preparing the slow turning lateral vessel bioreactor,5 days
Support Protocol 6: Preparing the cytodex-3 microcarrier beads,2 to 3 days
Basic Protocol 2: Establishing human 3D cervical tissues using the RWV bioreactor,28 days
Basic Protocol 3: Histological assessment of 3D organotypic raft tissues,1 hr
Basic Protocol 4: Spatial analysis of protein expression in 3D organotypic raft cultures,2 days
Basic Protocol 5: Immunofluorescent microscopy imaging of RWV derived 3D tissues,2 days
Basic Protocol 6: Ultrastructural visualization and imaging of RWV derived 3D tissues,2 to 4 days
Support Protocol 7: RNA extraction from 3D tissues,1.5 hrs
Basic Protocol 7: Characterization of gene expression by RT-qPCR,4 hrs
