ID,Genus,Species,Source
JUb19,Stenotrophomonas,maltophilia,"mCeMbio, CGC CeMbio"
JUb44,Chryseobacterium,scophthalmum,"mCeMbio, CGC CeMbio"
JUb101,Enterobacter,sp.,mCeMbio
JUb134,Sphingomonas,molluscorum,"mCeMbio, CGC CeMbio"
MYb10,Acinetobacter,guillouiae,"mCeMbio, CGC CeMbio"
MYb11,Pseudomonas,lurida,"mCeMbio, CGC CeMbio"
MYb71,Ochrobactrum,pecoris,"mCeMbio, CGC CeMbio"
BIGb0170,Sphingobacterium,multivorum,"mCeMbio, CGC CeMbio"
BIGb0172,Comamonas,piscis,"mCeMbio, CGC CeMbio"
BIGb0393,Pantoea,nemavictus,"mCeMbio, CGC CeMbio"
MSPm1,Pseudomonas,mendocina,"mCeMbio, CGC CeMbio"
CEN2ent1,Enterobacter,xiangfangensis,"mCeMbio, CGC CeMbio"
CBX151,Leucobacter,celer subsp. astrifaciens,Known skin bacterium
OP50,Escherichia,coli,Standard food
