DEGs,Log2 FC,padj,Gene Name
Actg2,−2.15,0.0241,"Actin, γ 2, smooth muscle, enteric"
Adhfe1,−0.53,0.0003,"Alcohol dehydrogenase, iron-containing, 1"
Alox5ap,0.58,0.0454,Arachidonate 5-lipoxygenase activating protein
Aplnr,−0.41,0.0457,Apelin receptor
Aqp7,−0.77,0.0007,Aquaporin 7
Arl11,0.79,0.0357,ADP-ribosylation factor-like GTPase 11
Arntl,−1.92,1.77 × 10−12,Aryl hydrocarbon receptor nuclear translocator-like
Asb2,−0.32,0.0002,Ankyrin repeat and SOCS box-containing 2
Atp2a1,−0.77,0.0284,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
Atp4a,−1.69,0.0075,ATPase H+/K+ transporting subunit α
Bcat2,−0.40,0.0038,Branched chain amino acid transaminase 2
Bckdha,−0.40,0.0083,"Branched chain ketoacid dehydrogenase E1, α polypeptide"
Bcl6b,−0.61,0.0055,"BCL6B, transcription repressor"
C1qa,0.57,0.0483,Complement C1q A chain
C1qb,0.74,0.0005,Complement C1q B chain
C1qc,0.69,0.0007,Complement C1q C chain
C5ar1,0.61,0.0483,Complement C5a receptor 1
Car4,−1.15,0.0017,Carbonic anhydrase 4
Cd14,0.67,0.0314,CD14 molecule
Cd163,0.92,0.0004,CD163 molecule
Cd44,0.33,0.0353,CD44 molecule
Cd68,0.99,0.0059,CD68 molecule
Cd93,−0.42,0.0065,CD93 molecule
Cdkn1a,−0.75,0.0011,Cyclin-dependent kinase inhibitor 1A
Cited4,−0.52,0.0296,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4"
Clec4a1,0.86,0.0121,"C-type lectin domain family 4, member A1"
Clock,−0.44,0.0002,Clock circadian regulator
Clu,0.44,0.0055,Clusterin
Col5a3,−0.66,0.0280,Collagen type V α 3 chain
Crispld2,−0.45,0.0234,Cysteine-rich secretory protein LCCL domain-containing 2
Csf1r,0.51,0.0111,Colony stimulating factor 1 receptor
Dkk3,−0.30,0.0351,Dickkopf WNT signaling pathway inhibitor 3
Dot1l,−0.44,0.0190,DOT1-like histone lysine methyltransferase
Ecrg4,−1.27,0.0299,ECRG4 augurin precursor
Eepd1,−0.44,0.0007,Endonuclease/exonuclease/phosphatase family domain-containing 1
Ephx1,0.84,0.0007,Epoxide hydrolase 1
Exoc4,0.35,0.0073,Exocyst complex component 4
F5,0.86,0.0345,Coagulation factor V
Fabp3,−0.41,1.03 × 10−5,Fatty acid-binding protein 3
Fam160a1,−0.51,0.0369,"Family with sequence similarity 160, member A1"
Fam220a,−0.40,0.0010,"Family with sequence similarity 220, member A"
Fam26e,−0.67,0.0235,Calcium homeostasis modulator family member 5
Fcgr2b,0.98,0.0314,Fc fragment of IgG receptor IIb
Fcna,0.63,0.0015,Ficolin A
Fhl2,−0.51,0.0121,Four and a half LIM domains 2
Gnb3,−0.47,0.0093,G protein subunit β 3
Gng2,0.47,0.0457,G protein subunit γ 2
Gpsm1,−0.42,0.0063,G-protein signaling modulator 1
Grip2,−1.46,0.0022,Glutamate receptor interacting protein 2
Gsn,−0.49,0.0008,Gelsolin
Gstz1,−0.69,0.0006,Glutathione S-transferase zeta 1
Hadh,−0.37,1.60 × 10−5,Hydroxyacyl-CoA dehydrogenase
Heyl,−0.31,0.0105,Hairy/enhancer-of-split related with YRPW motif-like
Hspa5,−0.34,0.0456,Heat shock protein family A member 5
Inha,0.71,0.0345,Inhibin subunit α
Ispd,−0.44,0.0190,Isoprenoid synthase domain-containing
Itga6,−0.36,0.0011,Integrin subunit α 6
Itgam,0.90,0.0061,Integrin subunit α M
Itgb2,0.80,0.0108,Integrin subunit β 2
Kank1,−0.39,0.0307,KN motif and ankyrin repeat domains 1
Kcnma1,−2.16,0.0008,"Potassium large conductance calcium-activated channel, subfamily M, α member 1"
