TAI (min),ΔHR (bpm),P,ΔMAP (mmHg),P,ΔSBP (mmHg),P,ΔDBP (mmHg),P
1:5000
0.1,1.86,.126,5.72,.011*,11.02,.004**,4.9,.005**
1,6.21,.001**,10.95,<.001***,19.83,<.001***,8.1,<.001***
3,4.45,<.001***,20.15,<.001***,38.05,<.001***,13.81,<.001***
5,4.05,<.001***,19.59,<.001***,36.48,<.001***,13.12,<.001***
10,5.5,.001**,18.13,<.001***,34.48,<.001***,12.1,<.001***
15,8.57,<.001***,17.8,<.001***,33.93,<.001***,12.17,<.001***
30,3.48,.023*,15.53,.02*,30.62,<.001***,10,.003**
"1:10,000"
0.1,1.48,.072,2.52,.052,3.19,.098,2.29,.042*
1,8.62,<.001***,7.58,.004,13.33,.002**,6.26,.002**
3,2.21,.073,13.25,<.001***,21.86,<.001***,9.1,<.001***
5,5.14,.001**,8.04,.018,15.21,.016*,5.1,.026*
10,5.12,.001**,13.51,<.001***,22.24,.001**,9.55,<.001***
15,6.52,<.001***,10.13,.003**,17.71,.005**,9.21,.012*
30,2.6,.097,8.57,.016*,16.62,.011*,4.95,.04*
"1:20,000"
0.1,3.52,.007**,3.83,.029*,6.86,.014*,4.02,.011
1,6.83,<.001***,7.16,.002**,12.88,.001**,6.74,<.001***
3,3.24,.005**,9.96,.001**,17.36,<.001***,8.07,<.001***
5,1.81,.03*,4.36,.092,7.33,.066,2.86,.179
10,3.26,.002**,6.45,.033*,8.48,.069,4.9,.055
15,5,<.001***,6.11,.018*,9.05,.017*,4.6,.026*
30,−0.48,.673,2.19,.406,4.24,.286,1.57,.484
"1:40,000"
0.1,0.43,.753,1.11,.643,3.02,.215,1.69,.244
1,4.38,.014*,4.27,.034,6.33,.016*,2.74,.109
3,1.1,.438,9.37,<.001***,14.31,<.001***,6.9,<.001***
5,1.07,.392,3.18,.14,5.64,.046*,1.88,.291
10,2.12,.193,6.05,.018*,8.71,.008**,4.43,.043*
15,4.52,.007**,6.06,.007**,8.5,.003**,3.62,.059
30,−0.21,.882,−1.49,.476,0.86,.744,−2.55,.167
