Gene,Function of protein
Alb,Carrier protein for various molecules such as steroids and fatty acids in blood
Alg5,Enables dolichyl-phosphate beta-glucosyltransferase activity
Apoc1,Transports lipids from the intestines to other locations in the body
Apoc3,Regulates metabolism of lipoproteins and play a role in lipid storage
Apoe,Transports lipoproteins in the blood
Cyp2a22,Enables enzyme binding activity; heme binding activity; and monooxygenase activity
Cyp2e1,Enables monooxygenase activity
Cyp3a41b,"Enables several functions, including caffeine oxidase activity; iron ion binding activity; and monooxygenase activity"
Fasn,Enables fatty acid synthase activity
Gamt,Enables guanidinoacetate N-methyltransferase activity and identical protein binding activity
Lars2,Involved in leucyl-tRNA aminoacylation and mitochondrial translation
Mup11,"The MUP family proteins bind to, concentrate, and stabilize many volatile scent substances (e.g. pheromones), thereby controlling both pheromone transport in circulation and pheromone release into the air"
Mup17
Mup22
Scd1,Enables metal ion binding activity; palmitoyl-CoA 9-desaturase activity; and stearoyl-CoA 9-desaturase activity
Serpina3k,Enable serine-type endopeptidase inhibitor activity
Slco1a1,Enables anion transmembrane transporter activity and identical protein binding activity
Star,Enables cholesterol binding activity
Tpm2,Binds to actin filaments and stabilize them by regulating access to actin modifying proteins
Ugt3a2,Enables UDP-glycosyltransferase activity
