Gait parameters,MC (Mean ± SD),SB (Mean ± SD),CS (Mean ± SD),P(CS vs SB),P(CS vs MC),P(SB vs MC)
RF_PrintArea_(cm2)_Mean,0.272 ± 0.05,0.33 ± 0.051,0.248 ± 0.04,0.011,0.379,0.075
RH_MaxContactMaxIntensity_Mean,188.768 ± 6.89,183.125 ± 11.22,161.284 ± 15.857,0.02,0.003,0.319
RH_PrintLength_(cm)_Mean,0.839 ± 0.067,0.9 ± 0.069,0.816 ± 0.056,0.045,0.544,0.151
RH_PrintWidth_(cm)_Mean,0.656 ± 0.065,0.69 ± 0.044,0.62 ± 0.032,0.01,0.24,0.315
RH_MaxIntensity_Mean,193.748 ± 5.502,190.474 ± 7.926,167.327 ± 14.86,0.007,0.002,0.425
RH_MeanIntensityOfThe15MostIntensePixels_Mean,140.141 ± 8.092,133.75 ± 12.955,117.26 ± 12.025,0.045,0.003,0.33
LF_MaxContactArea_(cm2)_Mean,0.27 ± 0.03,0.282 ± 0.03,0.203 ± 0.038,0.003,0.007,0.502
LF_MaxContactMaxIntensity_Mean,165.715 ± 7.093,163.407 ± 7.699,141.793 ± 12.683,0.005,0.002,0.601
LF_MaxContactMeanIntensity_Mean,73.476 ± 3.211,74.367 ± 1.985,68.693 ± 3.993,0.011,0.045,0.576
LF_PrintLength_(cm)_Mean,0.888 ± 0.041,0.899 ± 0.078,0.762 ± 0.086,0.016,0.009,0.756
LF_PrintWidth_(cm)_Mean,0.754 ± 0.024,0.724 ± 0.063,0.644 ± 0.049,0.032,0.001,0.311
LF_PrintArea_(cm2)_Mean,0.329 ± 0.023,0.343 ± 0.036,0.241 ± 0.043,0.001,0.001,0.464
LF_MaxIntensity_Mean,174.92 ± 5.798,172.154 ± 8.777,150.079 ± 12.159,0.005,0.001,0.534
LF_MeanIntensity_Mean,76.797 ± 3.606,77.881 ± 2.337,72.247 ± 3.764,0.011,0.058,0.55
LH_MaxContactAt_(%)_Mean,29.644 ± 5.177,33.255 ± 5.425,44.056 ± 4.805,0.004,0.001,0.265
LH_MaxContactMaxIntensity_Mean,183.908 ± 10.444,183.98 ± 12.199,162.862 ± 10.968,0.01,0.007,0.991
LH_MaxIntensity_Mean,190.195 ± 7.764,191.693 ± 10.184,168.907 ± 11.337,0.004,0.004,0.78
LH_MeanIntensity_Mean,86 ± 3.002,85.876 ± 3.614,80.019 ± 1.755,0.005,0.002,0.95
LH_MeanIntensityOfThe15MostIntensePixels_Mean,135.542 ± 11.122,134.115 ± 9.127,116.662 ± 6.608,0.004,0.005,0.813
LH_StrideLength_(cm)_Mean,9.191 ± 2.131,10.083 ± 2.434,7.417 ± 0.962,0.032,0.093,0.514
BOS_HindPaws_Mean_(cm),2.474 ± 0.108,2.477 ± 0.124,2.121 ± 0.142,0.001,0.001,0.966
PhaseDispersions_LH- > RH_Mean,48.759 ± 4.405,41.419 ± 7.088,48.738 ± 2.503,0.038,0.992,0.057
Couplings_LH- > LF_Mean,51.895 ± 2.686,57.778 ± 7.854,49.51 ± 3.672,0.042,0.228,0.113
