,,,,ANOVA (p-values)
Parameter,Culture time (days),Chondrogenic additives,Osteogenic additives,Effect of time,Effect of medium,Time × medium
Wet weight (mg/construct),1,34 ± 4.73,34 ± 2.95,,,
,21,67 ± 1.95a,67 ± 1.95a,<0.0001,NS,NS
,45,"71 ± 3.50a,b",78 ± 7.75a,,,
Dry weight (mg/construct),1,24 ± 2.25,24 ± 2.95,,,
,21,28 ± 1.57,29 ± 0.96,<0.0001,NS,NS
,45,"36 ± 2.30a,b",33 ± 4.14a,,,
DNA (μg/construct),1,2.1 ± 0.91,1.7 ± 0.31,,,
,21,4.7 ± 0.34a,5.3 ± 0.46a,<0.0001,NS,NS
,45,3.06 ± 0.33b,"3.5 ± 0.83a,b",,,
GAG (μg/construct),1,3.3 ± 2.36,1.6 ± 0.71,,,
,21,607 ± 157a,"33 ± 4.65a,c",<0.0001,<0.0001,<0.0001
,45,"1370 ± 133a,b","29 ± 6.58a,b,c",,,
OHP (μg/construct),1,1.2 ± 1.00,0.77 ± 0.83,,,
,21,48 ± 7.33a,"16 ± 2.85a,c",<0.0001,<0.0001,<0.005
,45,"75 ± 21a,b","27 ± 3.12a,b,c",,,
Ca++(μg/construct),1,12 ± 0.3,16.9 ± 5.2,,,
,21,5.0 ± 0.1,"266 ± 31.2a,c",<0.0001,<0.0001,<0.0001
,45,"247 ± 60a,b","441 ± 37.9a,b,c",,,
ALP activity (μM/min/construct),1,0.18 ± 0.13,0.37 ± 0.08,<0.0001,<0.0001,<0.0001
,21,19 ± 3.20,2.4 ± 0.07,,,
"Aggregate modulus (HA, MPa)",21,0.235 ± 0.044,0.273 ± 0.024,NS,<0.0001,<0.005
,45,0.153 ± 0.012b,0.314 ± 0.031c,,,
"Permeability (k, m4/N.s)",21,3.3 ± 1.7 × 10−15,1.8 ± 0.53 × 10−15,<0.03,<0.01,<0.03
,45,16 ± 13 × 10−15b,1.9 ± 0.63 × 10−15c,,,
"Young's modulus (E, MPa)",21,0.124 ± 0.051,0.232 ± 0.004c,NS,0.0001,NS
,45,0.118 ± 0.068b,0.251 ± 0.045c,,,
"Shear modulus (G*, kPa)",21,34.8 ± 4.45,34.7 ± 7.7,NS,NS,NS
,45,33.4 ± 11.0b,43.5 ± 3.5c,,,
Phase angle (degrees),21,22.1 ± 3.3,27.4 ± 1.1c,NS,NS,NS
,45,25.0 ± 1.4,25.2 ± 4.0,,,
