Parameter,Culture time (days),Chondrogenic additives,Osteogenic additives
Sox-9,1,1,0.02
,21,0.15,0.01
,45,0.19,0.01
Collagen type II,1,1,0.03
,21,"87,254",18.0
,45,"95,253",0.2
Aggrecan,1,1,0.12
,21,37,0.86
,45,29,0.34
Cbfα1,1,1,1.24
,21,0.87,1.55
,45,13.3,4.74
ALP,1,1,1.05
,21,0.29,1.16
,45,0.92,0.17
BSP,1,1,1.55
,21,1387,690
,45,"13,884",574
BMP-2,1,NM,NM
,21,1,1.16
,45,14.8,0.7
OC,1,1,2.31
,21,3.68,7.63
,45,6.84,5.68
ON,1,1,4.37
,21,0.3,0.01
,45,0.02,0.17
Collagen type I,1,1,1.35
,21,0.29,0.01
,45,0.03,0.02
