,IGF-1,COX2,IGF-1R
Treatment,
Lycopene (n= 22),0.18 ± 0.86,3.28 ± 1.68,−0.11 ± 2.23
Fish oil (n= 21),−0.04 ± 0.84,3.08 ± 1.06,−0.10 ± 0.66
Placebo (n= 26),0.18 ± 0.97,3.04 ± 0.95,−0.26 ± 0.50
Prob. value,0.65,0.78,0.90
Stratification
Low tomato/low fish (n= 22),−0.03 ± 0.71,3.36 ± 1.14,−0.42 ± 0.60
Low tomato/high fish (n= 8),−0.19 ± 0.51,2.91 ± 0.53,−0.38 ± 0.52
High tomato/low fish (n= 25),0.14 ± 0.93,3.23 ± 1.56,0.20 ± 2.05
High tomato/high fish (n= 14),0.45 ± 1.17,2.71 ± 1.00,−0.29 ± 0.56
Prob. value,0.32,0.43,0.40
