NFWR,Limb sampled,Colony Forming Units,Closest match
134,Right Back,1100,Penicilliumspecies (2 different species)
,,,Cladosporiumspecies
,Right Front*,TNTC,Penicilliumspecies
,,,Hyphomycetesspecies
135,Right Back,120,Penicilliumspecies
,,,Aspergillusspecies
,,,Hyphomycetesspecies (2 different species)
,Right Front,TNTC,Exophiliaspecies
,Left Back,600,Wangiella species
,,,Hyphomycetesspecies
,,,Penicilliumspecies
,Left Front,150,Cladosporiumspecies (2 different species)
,,,Hyphomycetesspecies (2 different species)
136,Left Front,60,Cladosporiumspecies
,,,Streptomycetesspecies
,Left Back,30,Acremoniumspecies
,Right Back,150,Fusariumspecies
,,,Hyphomycetesspecies (2 different species)
,,,Cladosporiumspecies
,,,Penicilliumspecies
137,Right Front,TNTC,Penicilliumspecies (2 different species)
,Right Back,60,Curvulariaspecies
,,,Cladosporiumspecies
,Left Front,TNTC,Penicilliumspecies (3 different species)
,,,Cladosporiumspecies
138,Left Front,150,Penicilliumspecies
,,,Cladosporiumspecies
,,,Hyphomycetesspecies
,Left Back*,TNTC,Penicilliumspecies
,,,Hyphomycetesspecies
139,Lower Lip,TNTC,Penicilliumspecies
,,,Cladosporiumspecies
,Left Back,330,Penicilliumspecies (2 different species)
,,,Acremoniumspecies
,,,Sporothrixspecies
,Left Front,TNTC,Cladosporiumspecies (2 different species)
,Right Front,TNTC,Cladosporiumspecies
,Right Back,150,Cladosporiumspecies
,,,Penicilliumspecies
