Strain,Genus and species,Isolated from:,Source [ref(s).]
WN1343,Serratia liquefaciensATCC27592,n/a,ATCC
WN1359,Carnobacteriumsp.,Permafrost sample 4,This study
WN1370,Carnobacteriumsp.,Permafrost sample 4,This study
WN1371,Carnobacteriumsp.,Permafrost sample 4,This study
WN1372,Carnobacteriumsp.,Permafrost sample 4,This study
WN1373,Carnobacteriumsp.,Permafrost sample 4,This study
WN1374,Carnobacteriumsp.,Permafrost sample 9,This study
WN1360 (DSM 4847T),C. gallinarum,"Refrigerated, vacuum-packed meat",DSMZ (25)
WN1361 (DSM 4848T),C. mobile,Irradiated chicken meat,DSMZ (25)
WN1362 (DSM 13024T),C. inhibens,Intestine of Atlantic salmon,DSMZ (26)
WN1363 (DSM 14451T),C. viridans,"Refrigerated, vacuum-packed bologna",DSMZ (27)
WN1364 (DSM 20342T),C. maltaromaticum,Milk with malty flavor,DSMZ (28)
WN1366 (DSM 20623T),C. divergens,"Refrigerated, vacuum-packed meat","DSMZ (25,29)"
WN1367 (DSM 5970T),C. funditum,"Anoxic waters, Ace Lake, Antarctica",DSMZ (30)
WN1368 (DSM 5972T),C. alterfunditum,"Anoxic waters, Ace Lake, Antarctica",DSMZ (30)
WN1369 (DSM 17715T),C. pleistocenium,"Permafrost, Fox Tunnel, Alaska",DSMZ (18)
