Biological function categoriesa,Lowerp-valueb(×10−6),Upperp-valueb(×10−6),Number ofgenes,Number of genesupregulatedc,Number of genesdownregulatedc
Inflammatory response,0.34,46 300,100,32,68
Carbohydrate metabolism,46.8,44 300,44,6,38
Molecular transport,56.7,44 300,82,19,63
Small molecule biochemistry,56.7,44 300,102,21,81
Cell death,64.5,47 300,81,21,60
Hematological system development andfunction,87.9,47 700,118,38,80
Hematopoiesis,87.9,47 900,76,23,53
Organismal development,87.9,43 200,72,22,50
Tissue development,87.9,46 300,108,37,71
Cellular compromise,212,46 100,43,14,29
Cardiovascular system development andfunction,239,43 200,79,25,54
Cellular development,245,47 900,141,39,103
Cellular growth and proliferation,378,47 300,137,45,92
Humoral immune response,378,39 600,43,11,32
Organismal survival,385,7710,56,18,38
Developmental disorder,591,21 300,17,1,16
Genetic disorder,591,21 300,34,8,26
Metabolic disease,591,23 200,16,1,15
Cell-to-cell signaling and interaction,654,46 100,60,17,43
Gastrointestinal disease,671,28 000,20,6,14
Inflammatory disease,671,35 700,17,7,10
Cellular movement,701,47 700,96,27,69
Immune cell trafficking,701,47 700,65,18,47
Embryonic development,824,37 600,39,9,30
Lipid metabolism,824,44 300,72,12,60
Cell cycle,949,42 500,23,8,15
Antimicrobial response,959,21 400,12,3,9
Hematological disease,1170,34 800,32,11,21
Organ development,1240,39 600,46,14,32
Cellular assembly and organization,1410,42 500,66,22,44
Cellular function and maintenance,1410,47 800,95,25,70
Tissue morphology,1850,39 600,110,36,74
Organismal injury and abnormalities,2000,44 300,35,9,26
Antigen presentation,2260,46 300,36,9,27
Cell-mediated immune response,2260,21 800,24,6,18
Lymphoid tissue structure and development,2260,46 300,54,10,44
Cell morphology,3960,35 700,33,7,26
Connective tissue development and function,3960,39 600,41,10,31
Connective tissue disorders,3960,34 800,6,0,6
Digestive system development and function,3960,11 400,4,2,2
Drug metabolism,3960,34 800,9,2,7
Endocrine system development and function,3960,11 400,4,2,2
Hepatic system development and function,3960,11 400,7,2,5
Hypersensitivity response,3960,41 800,7,2,5
Nervous system development and function,3960,44 300,23,8,15
Neurological disease,3960,28 700,11,4,7
Nucleic acid metabolism,3960,34 800,4,1,3
Organ morphology,3960,44 300,40,10,30
Skeletal and muscular disorders,3960,21 800,14,0,14
Skeletal and muscular system developmentand function,3960,34 800,34,14,20
Cancer,4310,47 900,68,20,48
Respiratory disease,4770,44 300,12,4,8
Visual system development and function,5140,39 600,12,2,10
Free radical scavenging,7060,46 300,19,5,14
Dermatological diseases and conditions,7190,43 900,21,8,13
Immunological disease,7190,34 800,23,7,16
Reproductive system development andfunction,7780,44 300,18,7,11
Cardiovascular disease,8570,47 900,33,8,25
Endocrine system disorders,9400,47 900,14,1,13
Organismal functions,10 000,32 900,7,2,5
Hair and skin development and function,11 400,11 400,2,1,1
Hepatic system disease,11 400,11 400,2,1,1
Reproductive system disease,11 400,28 000,9,1,8
Infectious disease,12 300,35 700,22,6,16
Protein synthesis,12 400,21 800,18,2,16
Cell signaling,15 700,33 500,10,1,9
Amino acid metabolism,21 400,33 700,11,4,7
Gene expression,21 500,21 500,54,24,30
Auditory disease,21 800,28 700,7,3,4
Ophthalmic disease,21 800,21 800,2,0,2
Protein trafficking,21 800,21 800,2,1,1
Nutritional disease,33 500,33 500,9,2,7
Post-translational modification,33 500,33 500,9,1,8
Behavior,33 700,33 700,6,1,5
"DNA replication, recombination, and repair",34 800,42 500,9,6,3
Renal and urological system development andfunction,34 800,34 800,2,0,2
Vitamin and mineral metabolism,34 800,34 800,2,0,2
