,Normal,Jacket,60%,Mars,Lunar
n,4,5,5,4,"11 forelimb, 3 hindlimb"
"Peak IGRFz|, %BW",,,,,
Forelimb,78.85 ± 13.66,59.48 ± 12.93*,41.93 ± 8.45*,28.63 ± 2.92*,20.09 ± 5.06*
Hindlimb,70.93 ± 11.53,61.10 ± 3.65,32.43 ± 5.80*,10.44 ± 2.99*,10.92 ± 1.21*
"Peak |GRFx|, %BW",,,,,
Forelimb,18.25 ± 14.11,11.23 ± 7.87,15.06 ± 4.90,10.04 ± 2.72,6.21 ± 2.67*
Hindlimb,16.42 ± 7.42,13.65 ± 7.92,15.57 ± 6.65,5.00 ± 3.80*,3.96 ± 3.75*
"Peak |GRFy|, %BW",,,,,
Forelimb,15.83 ± 7.46,13.44 ± 5.84,10.18 ± 7.73,11.44 ± 6.69,4.08 ± 2.28*
Hindlimb,15.18 ± 8.81,12.99 ± 6.22,9.55 ± 8.43,5.37 ± 6.25*,2.17 ± 2.24*
"Area under GRFz, %BW·s",,,,,
Forelimb,4.14 ± 0.81,4.53 ± 1.06,6.71 ± 1.17*,3.86 ± 1.42,2.30 ± 1.03*
Hindlimb,3.60 ± 1.09,4.07 ± 1.12,5.50 ± 1.86,1.29 ± 1.11*,1.91 ± 0.05*
"GRFzonset, %BW/s",,,,,
Forelimb,"2,239.86 ± 1,009.89","1,928.42 ± 572.65",565.32 ± 89.02*,566.54 ± 190.96*,318.98 ± 145.13*
Hindlimb,"2,782.23 ± 1,185.03","2,323.04 ± 757.37*",600.89 ± 281.43*,210.48 ± 163.60*,192.28 ± 106.44*
"Stance duration, s",,,,,
Forelimb,0.10 ± 0.02,0.14 ± 0.04*,0.30 ± 0.03*,0.33 ± 0.08*,0.26 ± 0.11*
Hindlimb,0.11 ± 0.01,0.13 ± 0.04,0.32 ± 0.05*,0.23 ± 0.12,0.37 ± 0.13*
