Column ID,Ratio (FLT vs. GRD),Gene name,Gene function,P-value
UPREGULATED GENES
orf19.2462_800,12.36,PRN3,RNA pol II transcription cofactor,1.52E-05
orf19.1976_183,11.82,TRX1,thioredoxin II,7.22E-06
orf19.4654_100,9.18,,hypothetical protein,3.73E-07
orf19.2428.2*,7.91,POL,RNA-directed DNA polymerase,3.18E-06
orf19.4873_58,7.67,,hypothetical protein,6.42E-07
orf19.4653_226,7.51,,hypothetical protein,8.89E-08
orf19.4784_2733,6.18,CRD1,copper-transporting P1-type ATPase,5.94E-06
orf19.3643_1045,5.98,,hypothetical protein,1.14E-03
orf19.2369.1,5.78,ATX1,antioxidant and copper/iron homeostasis protein,2.21E-04
orf19.633_479,5.73,,putative methyltransferase,1.45E-04
orf19.3722_1630,5.72,FAP1,FKBP12-associated protein | transcription factor homolog,1.85E-06
orf19.2989_630,5.52,,glycerate/formate- dehydrogenase,1.12E-03
orf19.3114_112,5.37,PUS5,pseudouridylate synthase,7.35E-05
orf19.3902_108,5.37,,hypothetical protein,1.93E-02
orf19.3115_540,5.23,,hypothetical protein,7.27E-07
orf19.5735.3,5.12,,polyprotein of Tca5 retrotransposon,8.32E-06
orf19.4274_526,5.00,PUT1,proline oxidase,1.47E-05
orf19.207_3938,4.95,,extremely serine rich protein,8.36E-05
orf19.3721_54,4.87,,hypothetical protein,3.34E-04
orf19.1277_1084,4.76,,hypothetical protein,1.49E-04
orf19.2157_168,4.76,NAG2,N-acetylglucosamine-6-phosphate deacetylase,8.79E-05
orf19.3120_767,4.72,,"highly conserved hypothetical protein, possible ABC transporter",3.15E-02
orf19.3668_781,4.56,HGT2,hexose transporter,9.20E-05
orf19.7283_265,4.48,,hypothetical protein,1.17E-04
orf19.265_519,4.46,,hypothetical protein,1.33E-03
orf19.4779_1348,4.34,,multidrug-resistance transporter,1.61E-05
orf19.716_12,4.22,,similar to pore-forming bacterial Septicolysin,4.75E-05
orf19.7042_467,4.11,,hypothetical protein,2.13E-03
orf19.7098_396,4.07,,transcription factor,8.01E-04
orf19.4526_520,3.96,HSP30,plasma membrane heat shock protein,4.22E-05
orf19.4045_129,3.93,EST1,EST1-like bcy1 Suppressor,3.18E-04
orf19.5180_89,3.89,PRX1,regulation of redox homeostasis,6.51E-03
orf19.101_672,3.84,RIM9,low similarity to a regulator of sporulation,5.22E-04
orf19.7300_80,3.71,,hypothetical protein,1.89E-04
orf19.2121_1518,3.68,ALS4,agglutinin like protein 4,8.37E-03
orf19.3441_684,3.67,FUN34,putative transporter,3.79E-03
orf19.1979_601,3.65,GIT3,glycerophosphoinositol permease,2.31E-03
orf19.6781_783,3.63,,possible zinc-finger protein,1.23E-02
orf19.1097_5491,3.62,ALS4,agglutinin like protein 4,4.31E-03
orf19.6408_532,3.59,YDJ2,mitochondrial and ER import protein | dnaJ homolog,2.71E-04
orf19.2498_920,3.55,SAN1,mating-type transcriptional regulator,1.39E-04
orf19.2048_203,3.55,,hypothetical protein,2.35E-05
orf19.5551_1357,3.52,MIF2,required for normal chromosome segregation and spindle integrity,7.79E-06
orf19.4590_2958,3.49,RFX1,similar to DNA-binding protein but may be missing DNA-binding domain,3.84E-05
orf19.6124_1633,3.46,ACE2,transcription activating factor,2.04E-04
orf19.3707_699,3.43,YHB1,flavohemoglobin | dihydropteridine reductase,4.88E-05
orf19.7085_1192,3.42,,hypothetical protein,9.96E-05
orf19.2414_412,3.39,MPM1,mitochondrial membrane protein,7.62E-07
orf19.3113_326,3.38,,conserved hypothetical protein,9.72E-04
orf19.7111.1,3.32,SOD3,superoxide dismutase,8.24E-05
orf19.4438_1074,3.31,RME1,zinc-finger transcription factor,1.98E-04
orf19.2655_652,3.31,BUB3,cell cycle arrest protein,7.43E-04
orf19.100_761,3.29,LIP11,triacylglycerol lipase,4.64E-04
orf19.3656_1108,3.29,COX15,cytochrome oxidase assembly factor,1.80E-02
orf19.6843_89,3.27,,hypothetical coiled-coil protein; possible histone binding,9.82E-06
orf19.5079_3533,3.22,CDR4,ABC transporter,5.63E-06
orf19.4843_1702,3.20,,conserved hypothetical protein,2.50E-03
orf19.5681_259,3.18,,hypothetical protein,3.73E-03
orf19.5305_391,3.18,RHD3,conserved protein reressed in hyphal development,3.11E-04
orf19.4527_200,3.17,HGT1,hexose transporter,1.64E-02
orf19.3192_1315,3.15,STI1,heat shock protein | chaperone,5.09E-07
