Characteristic,GC,SF
STS-131: mesenteric arteries,,
Maximal diameter (μm),170 ± 8,168 ± 12
Medial wall thickness (μm),13.5 ± 0.7,13.8 ± 1.3
Spontaneous tone (%),5.4 ± 1.7,5.2 ± 1.0
STS-133: mesenteric arteries,,
R+1,,
Maximal diameter (μm),159 ± 11,152 ± 25
Medial wall thickness (μm),13.4 ± 0.7,13.0 ± 2.3
Spontaneous tone (%),5.3 ± 0.9,4.8 ± 1.0
R+5,,
Maximal diameter (μm),,171 ± 3
Medial wall thickness (μm),,11.5 ± 0.8
Spontaneous tone (%),,4.7 ± 1.8
R+7,,
Maximal diameter (μm),,154 ± 7
Medial wall thickness (μm),,11.4 ± 1.9
Spontaneous tone (%),,5.3 ± 1.5
STS-135: mesenteric veins,,
Maximal diameter (μm),236 ± 9,282 ± 37#
Medial wall thickness (μm),8.7 ± 0.9,9.6 ± 1.0
Spontaneous tone (%),7.5 ± 1.7,6.3 ± 1.8
