,20%,40%,60%,80%,100%,Vest (n=4),No vest
Forelimb
Stride length (cm),3.92 ± 0.65,4.96 ± 0.33,4.56 ± 0.40,4.56 ± 0.30,4.24 ± 0.70,4.91 ± 0.40,4.16 ± 0.59
Stance width (cm),1.96 ± 0.34,2.05 ± 0.20,2.05 ± 0.32,2.10 ± 0.19,2.14 ± 0.27,2.03 ± 0.24,"1.57 ± 0.06a,b"
Swing duration (%),38.3 ± 5.5,37.6 ± 4.3,34.7 ± 4.2,34.5 ± 5.5,31.5 ± 10.2,35.5 ± 3.8,35.6 ± 3.5
Stance/swing ratio,1.52 ± 0.26,1.70 ± 0.29,1.94 ± 0.40,1.96 ± 0.42,2.58 ± 1.25,1.85 ± 0.29,1.85 ± 0.28
Hindlimb
Stride length (cm),5.26 ± 1.32,5.26 ± 0.24,4.98 ± 0.29,4.90 ± 0.20,4.32 ± 1.09,5.14 ± 0.31,4.84 ± 0.71
Stance width (cm),2.75 ± 0.37,2.69 ± 0.21,2.80 ± 0.25,2.82 ± 0.16,2.54 ± 0.15,3.00 ± 0.22,2.77 ± 0.17a
Swing duration (%),33.9 ± 6.3c,29.6 ± 7.0,29.8 ± 3.5c,27.4 ± 4.6,26.6 ± 3.3,23.9 ± 2.3,26.0 ± 3.7
Stance/swing ratio,"2.01 ± 0.68c,d",2.55 ± 0.91,2.44 ± 0.37c,2.79 ± 0.71,2.88 ± 0.40,3.23 ± 0.39,2.90 ± 0.51
