,HLU (n=23),PWB20 (n=19),PWB40 (n=21),PWB70 (n=18),PWB100 (n=10),CON (n=37)
Trabecular
BV/TV (%),8.00 ± 1.9a,"7.27 ± 1.6a,b,c",8.57 ± 1.3a,8.88 ± 1.9a,9.94 ± 2.0,10.31 ± 1.4
Tb.N (1/mm),3.72 ± 0.23,3.62 ± 0.24a,3.76 ± 0.22,3.68 ± 0.26a,3.76 ± 0.30,3.86 ± 0.14
Tb.Th (μm),47.2 ± 2.9a,"47.2 ± 3.0a,b","48.9 ± 3.2a,b","49.5 ± 3.7a,b",53.5 ± 1.3,53.1 ± 2.5
SMI,3.03 ± 0.20d,3.23 ± 0.20a,3.07 ± 0.14,3.05 ± 0.22,3.05 ± 0.23,2.97 ± 0.21
DA,1.25 ± 0.06a,"1.24 ± 0.05a,b,c",1.27 ± 0.05a,1.29 ± 0.05,1.31 ± 0.07,1.32 ± 0.05
Cortical
Diaphysis
Ct.Th (μm),134 ± 6a,"131 ± 5a,b","137 ± 9a,b","137 ± 9a,b",149 ± 14a,161 ± 8
Tt.Ar (mm2),1.56 ± 0.10,1.55 ± 0.08,1.54 ± 0.10,1.59 ± 0.06,1.59 ± 0.08,1.57 ± 0.07
Ct.Ar (mm2),0.55 ± 0.03a,"0.54 ± 0.03a,b","0.56 ± 0.04a,b","0.57 ± 0.04a,b",0.61 ± 0.05a,0.66 ± 0.03
Ct.Ar/Tt.Ar (%),35.5 ± 1.6a,"34.8 ± 1.1a,b","36.2 ± 2.2a,b","35.7 ± 1.9a,b",38.6 ± 3.0a,41.7 ± 1.7
J(mm4),0.24 ± 0.03a,"0.23 ± 0.03a,b","0.24 ± 0.03a,b",0.25 ± 0.02a,0.27 ± 0.03,0.28 ± 0.02
Metaphysis
Ct.Th (μm),"98 ± 5a,d","93 ± 4a,b","98 ± 5a,b","98 ± 7a,b",111 ± 9a,121 ± 6
Tt.Ar (mm2),2.51 ± 0.15,2.48 ± 0.12,2.53 ± 0.17,2.57 ± 0.10,2.59 ± 0.12,2.50 ± 0.12
Ct.Ar (mm2),"0.57 ± 0.03a,d","0.54 ± 0.04a,b","0.57 ± 0.04a,b","0.57 ± 0.04a,b",0.66 ± 0.06a,0.71 ± 0.05
Ct.Ar/Tt.Ar (%),"22.7 ± 1.3a,d","21.6 ± 1.3a,b","22.5 ± 1.7a,b","22.3 ± 1.3a,b",25.5 ± 2.1a,28.5 ± 1.9
