Parameter,SF (n = 5),SFV (n = 17),GC (n = 9),GCV (n = 12)
"Distance moved, m",Pre,83.9±6.2,84.2±6.3,82.8±4.5,85.7±5.9
,Post,39.0±5.5,69.7±3.4,63.2±4.6,69.1±4.3
"Distance moved in center zone, m",Pre,31.2±3.8,34.1±3.2,32.2±3.5,30.4±2.8
,Post,10.4±2.1,31.9±1.7,22.1±2.9,29.0±3.1
"Distance moved in the periphery zone, m",Pre,52.7±5.2,50.1±3.7,50.6±2.0,55.3±3.7
,Post,28.6±5.1,37.8±2.5,41.1±2.8,40.1±2.4
"Movement speed, m/min",Pre,5.50±0.56,5.01±0.22,4.85±0.26,5.27±0.36
,Post,3.45±0.49,4.21±0.23,3.84±0.23,4.23±0.21
Rearing frequency,Pre,170±14,169±12,147±10,132±11
,Post,53±11,166±8,138±7,128±14
Center zone entry frequency,Pre,83±10,91±8,81±8,80±6
,Post,30±6,78±5,56±5,75±6
"Time in center zone, s",Pre,279±50,367±42,367±22,310±23
,Post,161±55,434±30,338±46,423±40
"Latency to first center zone entry, s",Pre,13±6,11±2,28±10,20±5
,Post,52±13,21±4,37±11,27±9
"Grooming duration, s",Pre,83±31,88±14,72±6,89±6
,Post,319±52,114±13,88±14,103±27
