,7 days,14 days
,Static IMDM,Bioreactor IMDM,Static IMDM,Bioreactor IMDM
α-SMA,,,,9.09*
Adiponectin,,10.95***,,31.53***
Aqp5,3.35*,1.45**,2.83***,1.99**
CCSP,,16.50*,41.01***,37.41***
CD106,∞,∞,34.88*,
Col 1a1,4.72***,1.81**,20.09**,
Col 2a1,,,7.79***,9.72***
Endoglin,,,12.37**,
FAP,,26.01***,8.23**,119.87***
FN1,,,,
FoxJ1,∞,∞,∞,∞
FSP1,,,,4.73*
MMP3,∞,∞,∞,∞
MUC5AC,∞,∞,∞,∞
Osteopontin,56.02**,27.09***,108.20***,50.28***
Sca-1,,,,
Scgb3a2,∞,∞,∞,∞
SPA,Ф,Ф,Ф,Ф
SPB,Ф,Ф,Ф,Ф
SPC,,,,
SPD,∞,∞,∞,∞
Spdef,∞,∞,∞,∞
Stanniocalcin,∞,∞,∞,∞
TGF-β,,,,4.06**
Trp63,∞,∞,∞,∞
TTF1,,,,
Vimentin,,,,
ZO-1,,,,
