Endpoint,Baseline,rAAV-GFP,rAAV-Leptin,FDR-adjusted p-value
Femur Diaphysis (cortical bone)
Cross-sectional volume (mm3),3.09 ± 0.08,3.29 ± 0.06,3.05 ± 0.06b*,0.072
Cortical volume (mm3),2.01 ± 0.04,2.16 ± 0.02a,2.05 ± 0.04b*,0.056
Marrow volume (mm3),1.08 ± 0.04,1.12 ± 0.04,1.00 ± 0.04,0.182
Cortical thickness (μm),724 ± 8,753 ± 7,748 ± 13,0.135
Ipolar(mm),14.60 ± 0.73,16.65 ± 0.49a*,14.46 ± 0.58b*,0.071
Distal Femur Metaphysis (cancellous bone)
Bone volume/tissue volume (%),28.0 ± 3.4,18.1 ± 2.3a*,20.9 ± 1.5,0.072
Connectivity density (1/mm3),92.9 ± 5.6,59.3 ± 7.4a,70.6 ± 5.6a*,0.052
Trabecular number (1/mm),4.6 ± 0.2,3.8 ± 0.2a*,4.0 ± 0.1a*,0.058
Trabecular thickness (μm),78 ± 4,69 ± 3,70 ± 2,0.195
Trabecular spacing (μm),214 ± 11,263 ± 15a*,245 ± 8a*,0.087
Distal Femur Epiphysis (cancellous bone)
Bone volume/tissue volume (%),42.4 ± 1.0,37.1 ± 1.3a*,38.3 ± 0.7a,0.056
Connectivity density (1/mm3),39.0 ± 2.1,35.9 ± 1.5,34.8 ± 2.0,0.378
Trabecular number (1/mm),3.9 ± 0.1,3.7 ± 0.1,3.7 ± 0.1,0.364
Trabecular thickness (μm),108 ± 1,102 ± 2,102 ± 2,0.108
Trabecular spacing (μm),241 ± 9,256 ± 5,257 ± 8,0.328
