Gene,DAY1,DAY 7,DAY 14
CT,H30,H100,V30,V100,CT,H30,H100,V30,V100,CT,H30,H100,V30,V100
ATF4,1.0,1.5,2.0,1.2,1.5,1.0,1.7,2.3,1.3,1.6,1.0,2.0,2.9,1.5,1.9
BMP4,1.0,1.8,1.9,1.6,1.8,1.0,1.9,2.3,1.7,1.9,1.0,2.1,3.0,1.9,2.1
CACNA1C,1.0,1.5,1.7,1.4,1.5,1.0,1.7,2.1,1.5,1.7,1.0,2.0,2.8,1.7,2.0
CD44,1.0,1.5,1.9,1.2,1.6,1.0,1.8,2.3,1.3,1.8,1.0,2.1,2.9,1.5,2.2
CDC42,1.0,1.7,1.8,1.3,1.7,1.0,1.9,2.3,1.4,1.9,1.0,2.2,2.8,1.6,2.2
CTNNB1,1.0,1.6,2.0,1.3,1.6,1.0,1.7,2.3,1.3,1.6,1.0,1.8,2.7,1.4,1.8
FGF2,1.0,1.7,2.0,1.5,1.7,1.0,1.9,2.2,1.6,2.0,1.0,2.2,2.6,1.8,2.2
SUN2,1.0,1.7,2.1,1.2,1.7,1.0,1.7,2.3,1.2,1.7,1.0,1.9,2.8,1.3,2.0
VEGFA,1.0,2.0,2.1,1.6,2.0,1.0,2.1,2.3,1.7,2.1,1.0,2.2,2.6,1.8,2.3
WNT1,1.0,1.8,2.1,1.5,1.8,1.0,1.9,2.3,1.7,1.9,1.0,2.0,2.7,1.8,2.0
WNT10A,1.0,2.0,2.3,1.7,2.0,1.0,2.1,2.5,1.8,2.1,1.0,2.2,2.7,1.9,2.3
