Fungal phylum,Fungal family,Number of sequences
T0,T13,T20,T30
Total,Viable,Total,Viable,Total,Viable,Total,Viable
Ascomycota,Botryosphaeriales,115,31,1620,,,,176,96
Capnodiales,,2,185,121,,,61,4353
Chaetomiaceae,,,2415,1089,5533,,1505,32981
Cucurbitariaceae,451,221,2298,750,1879,,2272,1256
Davidiellaceae,2840,1423,42496,6099,129620,28495,55079,38510
Dothioraceae,32,104,510,289,12864,14785,4726,688
Hypocreaceae,174,68,2357,197,5510,,3897,10952
Hypocreales,73,86,9247,402,8566,1,7989,5638
Leptosphaeriaceae,16,23,564,215,518,1,1639,1
Lophiostomataceae,56,43,56,,1850,1,26,
Microascaceae,,,326,,27007,9,735,6
Montanulaceae,627,232,11273,621,22582,,12697,77
Nectriaceae,82,121,2890,1287,8479,804,2242,49
Phaeosphaeriaceae,343,222,3551,105,6082,1,6969,30695
Pleosporaceae,295115,380533,273232,251840,172919,61791,648825,619794
Pleosporales,5202,3071,6876,4475,10056,13,12085,8859
Saccharomycetales,17,33,346,3,45461,10414,17840,2092
Sclerotiniaceae,52,16,355,,1920,,99,
Teratosphaeriaceae,35,28,805,1,2,2,583,44749
Trichocomaceae,68,32,10496,3461,14625,10495,12147,518
Trichosphaeriales,3,,122,1750,,,688,
Unclassified,712,686,5082,640,4161,,4450,6317
Basidiomycota,Filobasidiaceae,1164,419,5997,8,11570,1925,2550,4425
Peniophoraceae,1,,,,,,,10916
Polyporales,1,,,,1339,,,
Sporidiobolales,2563,1236,6556,315,22900,2,35692,24352
Tremellales,7916,4158,42068,1030,72870,9,34932,18439
Unclassified,409,272,2151,2171,481,504,2445,279
Unclassified,Unclassified,2973,10475,38015,17311,30832,10320,41608,53950
