Lipid profile,Vivarium,AEM
,Mean,s.d.,N,Mean,s.d.,N
Cholesterol (mg/dl),54.9,31.8,35,76.1,12.0,36
Triglyceride (mg/dl),91.2,28.2,36,119.9,37.3,36
,,,,,,
Chemical profile
ALK phasphatase (IU/l),103.5,18.6,35,87.4,19.1,35
"ALT (SGPT, IU/l)",25.9,36.7,36,26.0,9.8,36
"AST (SGOT, IU/l)",96.9,51.3,35,115.9,52.2,36
CPK (IU/l),293.0,235.5,36,313.2,202.9,36
Albumin (g/dl),2.8,0.3,35,2.7,0.1,36
Total protein (g/dl),4.5,0.5,35,4.5,0.2,36
Globulin (g/dl),1.7,0.2,35,1.8,0.1,36
Total bilirubin (mg/dl),0.2,0.1,36,0.2,0.1,36
Direct bilirubin (mg/dl),0.2,0.0,36,0.2,0.0,36
BUN (mg/dl),24.4,5.7,36,25.4,3.5,36
Creatinine,0.0,0.0,35,0.0,0.0,36
Glucose (mg/dl),229.8,37.2,36,231.1,31.3,36
Calcium (mg/dl),7.5,1.0,35,7.7,0.5,36
Phosphorus (mg/dl),5.2,1.1,35,5.1,0.6,36
TCO2 (bicarbonate),12.5,3.3,35,10.2,2.8,36
A/G ratio,1.6,0.1,35,1.5,0.1,36
Indirect bilirubin,0.0,0.0,36,0.0,0.0,0
,,,,,,
Basic CBC
WBC (×103/μl),3.8,1.1,35,2.5,0.8,35
RBC (×106/μl),9.0,0.4,35,9.1,0.3,35
HGB (g/dl),14.7,0.4,35,14.6,0.5,35
HCT (%),41.8,1.8,35,44.7,1.6,35
MCV (fl),46.5,0.7,35,48.9,0.9,35
MCH (pg),16.3,0.4,35,15.9,0.3,35
MCHC (g/dl),35.2,1.0,35,32.6,0.4,35
NRBC (/100 WBC),0.1,0.7,35,0.3,0.7,35
Neutrophil SEG (%),12.3,4.6,35,13.8,6.3,35
Lymphocyte (%),81.7,5.5,35,78.7,7.3,35
Monocyte (%),4.7,1.6,35,6.4,2.9,35
Eosinophil (%),1.2,0.7,35,1.1,0.6,35
Basophil (%),0.4,0.5,35,0.2,0.4,35
ABS neutrophil SEG (1/μl),443.7,143.3,35,323.6,140.8,35
ABS lymphocyte (1/μl),"3,154.3",987.8,35,"1,944.7",724.5,35
ABS monocyte (1/μl),177.5,73.4,35,159.0,100.9,35
ABS eosinophil (1/μl),45.4,36.1,35,25.9,13.9,35
ABS basophil,15.9,19.8,35,3.3,7.8,35
