Genotype,Light treatment,0g,0.1g,0.3g,0.5g,0.8g,1g
Ler WT,Blue,1.51 (±10.18)bcd,1.13 (±0.18)cd,1.51 (±10.14)bcd,2.27 (±0.17)ab,1.94 (±10.27)bcd,1.21 (±0.11)cd
n= 22,n= 15,r) = 22,n= 15,n= 6,n= 19
Red,1.95 (±0.12)bc,1.65 (±0.17)bcd,1.51 (±0.09)bcd,"2.03 (±0.22),abc",2.02 (±0.22)abc,1.63 (±0.09)bcd
n= 43,n= 30,n= 46,n= 24,n= I6,n= 39
Red → blue,1.98 (±0.20)abc,1.58 (±0.16)bcd,1.75 (±0.24)bcd,2.06 (±0.24)abc,2.81 (±0.16)a,1.10 (±0.15)d
n= 20,n= 21,n= lS,n= 12,n= 14,n= 25
phyA,Blue,1.74 (±0.20)ab,1.86 (±0.23)ab,1.15 (±0.16)b,1.86 (±0.36)ab,2.05 (±0.17)ab,1.38 (±0.20)b
n= 22,n= 22,n= 23,n= 16,n= 17,n= 25
Red,1.92 (±0.20)ab,2.01 (±0.19)ab,1.22 (±0.13)b,2.22 (±0.18)ab,1.98 (±0.21)ab,1.11 (±0.14)b
n= 24,n= 24,n= 24,n= 13,n= 17,n= 22
Red → blue,2.05 (±0.23)ab,1.38 (±0.13)ab,1.49 (±0.21)ab,2.36 (±0.22)b,1.79 (±0.20)ab,1.46 (±0.17)ab
n= 24,n= 23,n= 23,n= 18,n= 15,n= 23
phyB,Blue,2.71 (±0.28)ab,1.39 (±0.24)cde,1.61 (±0.22)bcde,1.62 (±0.21)bcde,1.73 (±0.34)bcde,1.00 (±0.21)de
n= 13,n= 12,n= 13,n= 22,n= 5,n= 10
Red,2.06 (±0.15)bcd,1.56 (±0.14)cde,1.31 (±0.14)de,2.69 (±0.17)ab,2.90 (±0.21)a,1.33 (±0.11)de
n= 47,n= 50,n= 50,n= 46,n= 44,n= 49
Red → blue,1.72 (±0.21)bcde,2.46 (±0.46)abcd,1.09 (±0.27)de,1.51 (±0.56)cde,2.67 (±0.53)abc,0.84 (±0.14)e
n= 12,n= 12,n= 12,n= 7,n= 10,n= 12
