Genotype,Light treatment,0g,0.1g,0.3g,0.5g,0.8g,1g
Ler WT,Blue,1.46 (±0.15)abc,0.84 (±0.12)bc,1.55 (±0.13)ab,1.86 (±0.21)a,1.13 (±0.35)abc,0.99 (±0.17)bc
n= 22,n= 17,n= 22,n= 15,n= 6,n= 20
Red,0.94 (±0.11)bc,0.93 (±0.11)bc,1.02 (±0.12)bc,1.41 (±0.26)abc,0.94 (±0.16)bc,0.84 (±0.09)c
n= 42,n= 29,n= 44,n= 20,n= 15,n= 39
Red → blue,1.07 (±0.16)abc,1.59 (±0.16)ac,1.26 (±0.18)abc,0.82 (±0.16)c,0.96 (±0.16)bc,1.71 (±0.18)a
n= 19,n= 22,n= 18,n= 9,n= 13,n= 24
phyA,Blue,0.94 (±0.18)def,2.24 (±0.31)a,1.62 (±0.23)abcde,1.14 (±0.24)bcdef,1.90 (±0.18)abcd,1.53 (±0.22)abcdef
n= 21,n= 15,n= 22,n= l5,n= 17,n= 22
Red,0.89 (±0.18)b,0.91 (±0.14)ef,1.18 (±0.19)bcdef,0.50 (±0.13)f,1.00 (±0.17)cdef,0.82 (±0.08)ef
n= 23,n= 24,n= 23,n= 13,n= 16,n= 2i
Red → blue,2.05 (±0.22)ab,0.59 (±0.10)f,1.92 (±0.21)abcd,1.69 (±0.26)abcde,1.58 (±0.17)abcdef,1.04 (±0.13)cdef
n= 24,n= 18,n= 22,n= 16,n= 15,n= 24
phyB,Blue,1.36 (±0.18)ab,1.40 (±0.21)ab,1.06 (±0.23)ab,1.30 (±0.36)ab,1.59 (±0.31)ab,0.81 (±0.18)ab
n= 12,n= 16,n= 12,n= 12,n= 9,n= 10
Red,1.62 (±0.17)ab,1.27 (±0.16)ab,1.84 (±0.14)a,1.69 (±0.16)ab,1.87 (±0.16)a,1.14 (±0.10)ab
n= −47,n= 49,n= 49,n= 45,n= 43,n= 48
Red → blue,1.74 (±0.16)ab,0.64 (±0.16)ab,1.38 (±0.28)ab,2.12 (±0.41)a,1.82 (±0.30)ab,0.87 (±0.14)ab
n= 12,n= 14,n= 10,n= 7,n= 9,n= 11
