,Sedentary,Exercise Training
"Body weight, g"
Young,379 ± 5 (44),365 ± 4†(30)
Old,448 ± 6*(39),415 ± 5*†(29)
"Heart weight, mg"
Young,900 ± 10 (45),904 ± 15 (28)
Old,"1,138 ± 25*(39)","1,092 ± 26*(29)"
"Left ventricular weight, mg"
Young,742 ± 8 (43),721 ± 12 (32)
Old,914 ± 20*(36),858 ± 17*†(25)
"HW/BW, mg/g"
Young,2.38 ± 0.03 (38),2.49 ± 0.03†(22)
Old,2.55 ± 0.04*(35),2.65 ± 0.03*†(23)
"LV/BW, mg/g"
Young,1.97 ± 0.04 (40),1.99 ± 0.03 (23)
Old,2.06 ± 0.03*(32),2.12 ± 0.03*(24)
"Maximal diameter, µm"
Young,135 ± 4 (17),128 ± 7 (15)
Old,130 ± 5 (15),139 ± 5 (14)
"Spontaneous tone, %"
Young,27.2 ± 1.8 (17),44.2 ± 6.1†(15)
Old,26.9 ± 2.1 (15),42.0 ± 6.2†(13)
