Reagent type (species)or resource,Designation,Source or reference,Identifiers,Additional information
"strain, strainbackground (C57BL/6J)",C57BL/6J; WT; wild-type,The Jackson Laboratory,Jackson Stock #: 000664;RRID:IMSR_JAX:000664,
"strain, strainbackground (B6.129S6-S1pr3tm1Rlp/Mmnc)",S1PR3 KO; S1pr3-/-,MMRRC Repository;https://www.ncbi.nlm.nih.gov/pubmed/15138255;PMID: 15138255,B6.129S6-S1pr3tm1Rlp/Mmnc; MMRRC Stock #:012038-UNC; RRID:MMRRC_012038-UNC,
"strain, strainbackground (B6.Cg-S1pr3tm1.1Hrose/J)",S1pr3-mCherry;S1pr3mcherry/+,The Jackson Laboratory,B6.Cg-S1pr3tm1.1Hrose/J;Jackson Stock #: 028624;RRID:IMSR_JAX:028624,
antibody (Living Colors DsRedRabbit Polyclonal Antibody),Rabbit anti-DsRed,Clontech,RRID:AB_10013483;Cat # 632496,
antibody (Chicken polyclonalto Neurofilamentheavy polypeptide),Chicken anti-NefH,Abcam,RRID:AB_304560;Cat # ab4680,
antibody (Chicken polyclonalto beta III Tubulin),Chickenanti-β-tubulin III,Abcam,RRID:AB_10899689;Cat # ab107216,
antibody (Mouse monoclonal[13C4/I3 C4] to PGP9.5),Mouse anti-PGP9.5,Abcam,RRID:AB_306343;Cat # ab8189,
antibody (Rabbit polyclonalto EDG3),Rabbit anti-S1PR3,Abcam,RRID:AB_732070;Cat # ab38324,
antibody (Mousemonoclonal to NF200),Mouse anti-NF200,Sigma-Aldrich,RRID:AB_260781;Cat # N5389,
antibody (Chickenpolyclonal to Peripherin),Chicken anti-Peripherin,Abcam,RRID:AB_777207;Cat # ab39374,
antibody (Goat Anti-Mouse IgGH and L Alexa Fluor 488),Goat anti-MouseAlexa 488,Abcam,RRID:AB_2688012;Cat # ab150117,
"antibody (Goat anti-Chicken IgY(H + L) Secondary Antibody,Alexa Fluor 488)",Goat anti-ChickenAlexa 488,ThermoFisher Scientific,RRID:AB_2534096;Cat # A-11039,
"antibody (Goat anti-Rabbit IgG(H + L) Secondary Antibody,Alexa Fluor 594)",Goat anti-RabbitAlexa 594,Invitrogen,RRID:AB_2556545;Cat #R37117,
sequence-based reagent,S1pr3Type I Probe,ThermoFisher Scientific;Affymetrix,Assay ID: VB1-19668-VC,
sequence-based reagent,Scn1aType 6 Probe,ThermoFisher Scientific;Affymetrix,Assay ID: VB6-18173-VC,
sequence-based reagent,Npy2rType 6 Probe,ThermoFisher Scientific;Affymetrix,Assay ID:VB6-3197254-VC,
sequence-based reagent,Piezo2Type 6 Probe,ThermoFisher Scientific;Affymetrix,Assay ID: VB6-18046-VC,
sequence-based reagent,Trpv1Type 6 Probe,ThermoFisher Scientific;Affymetrix,Assay ID: VB6-18246-VC,
sequence-based reagent,Trpa1Type 6 Probe,ThermoFisher Scientific;Affymetrix,Assay ID: VB6-16610-VC,
commercial assay orkit (ViewRNA ISH TissueAssay Kit (2-plex)),ViewRNA ISHTissue Assay Kit,ThermoFisher Scientific;Affymetrix,Cat # QVT0012,
"chemical compound,drug (Sphingosine-1-phosphate)",Sphingosine1-phosphate; S1P,Tocris Bioscience;Avanti Polar Lipids,CAS 26993-30-6;Cat # 1370; Cat # 860641,
"chemical compound,drug (TY 521256)",TY 52156,Tocris Bioscience,CAS 934369-14-9;Cat # 5328,
"chemical compound,drug (SKI II)",SKI II,Tocris Bioscience,CAS 312636-16-1;Cat # 2097,
"chemical compound,drug (Histamine dihydrochloride)",Histamine,Sigma-Aldrich,CAS 56-92-8;Cat # H7250,
"chemical compound,drug (Chloroquine diphosphate)",Chloroquine,Sigma-Aldrich,CAS 50-63-5;Cat # C6628,
"chemical compound,drug (E-Capsaicin)",Capsaicin,Tocris Bioscience,CAS 404-86-4;Cat # 0462,
"chemical compound,drug (Dimethyl sulfoxide)",DMSO,Sigma-Aldrich,Cat # 8418–100 mL,
"chemical compound,drug (Methanol)",Methanol,Sigma-Aldrich,CAS 67-56-1;Cat # 34860,
"chemical compound,drug (Linopirdine dihydrochloride)",Linopirdine,Tocris Bioscience,CAS 113168-57-3;Cat # 1999,
"chemical compound,drug (XE 991 dihydrochloride)",XE 991,Tocris Bioscience,CAS 122955-13-9;Cat # 2000,
"chemical compound,drug (W146)",W146,Tocris Bioscience,CAS 909725-61-7;Cat # 3602,
"chemical compound,drug (Freund's Adjuvant,Complete)",CompleteFreund'sAdjuvant; CFA,Sigma-Aldrich,Cat # F5881,
"chemical compound,drug (Formaldehyde, 16%,methanol free, Ultra Pure)",Paraformaldehyde;PFA,"Polysciences, Inc.",Cat # 18814–10,
"chemical compound,drug (Tissue Tek Optimal cuttingtemperature compound (OCT))",OCT,Sakura Finetek USA,Cat # 4583,
"chemical compound,drug (Triton X-100 solution)",Triton X-100,BioUltra,CAS 9002-93-1;Cat # 93443,
"chemical compound,drug (Phosphate-bufferedsaline (PBS), pH 7.4)",PBS,Gibco,Cat # 10010023,
"chemical compound,drug (Benzyl benzoate)",Benzyl benzoate,Sigma-Aldrich,CAS 120-51-4;Cat # B6630,
"chemical compound,drug (Benzyl alcohol)",Benzyl alcohol,Sigma-Aldrich,CAS 100-51-6;Cat # 305197,
"chemical compound,drug (Sucrose)",Sucrose,Sigma-Aldrich,CAS 57-50-1; Cat # S0389,
"chemical compound,drug (LIVE/DEAD FixableAqua Dead Cell Stain Kit,for 405 nm excitation)",Aqua,ThermoFisher Scientific,Cat #L34957,
"chemical compound,drug (Isoflurane, USP)",Isoflurane,Piramal,CAS 26675-46-7,
"chemical compound,drug (4',6-Diamidino-2-Phenylindole, Dihydrochloride)",DAPI,ThermoFisher Scientific,CAS 28718-90-3;Cat # 1306,
"chemical compound,drug (Fluoromount-G,with DAPI)","Fluoromount-G,with DAPI",ThermoFisher Scientific,Cat # 00-4959-52,
"antibody (CD117 (c-Kit)Monoclonal Antibody(2B8), Biotin)",c-Kit-Biotin,eBioscience,RRID:AB_466569;Cat # 13-1171-82,
"antibody (FceR1 alphaMonoclonal Antibody (AER-37(CRA1)), PE, eBioscience)",FceRI-PE,eBioscience,RRID:AB_10804885;Cat # 12-5899-42,
"antibody (CD49b (Integrinalpha 2) Monoclonal Antibody(DX5), PE-Cyanine7,eBioscience)",CD49b-PECy7,eBioscience,RRID:AB_469667;Cat # 25-5971-82,
"antibody (Anti-Siglec-F-APC,mouse (clone: REA798))",SiglecF-APC,Miltenyi Biotech,RRID:AB_2653441;Cat # 130-112-333,
antibody (Streptavidin FITC),SA-FITC,eBioscience,RRID:AB_11431787;Cat # 11-4317-87,
"antibody (Ly-6C MonoclonalAntibody (HK1.4), PerCP-Cyanine5.5, eBioscience)",Ly6C-PerCP,eBioscience,RRID:AB_1518762;Cat # 45-5932-82,
antibody (Pacific Blue anti-mouse/human CD11bAntibody),CD11b-PB,BioLegend,RRID:AB_755985;Cat # 101223,
antibody (Brilliant Violet 785anti-mouse Ly-6G Antibody),Ly6G-BV785,BioLegend,RRID:AB_2566317;Cat # 127645,
"antibody (CD45.2 MonoclonalAntibody (104), Alexa Fluor 700,eBioscience)",CD45.2-AF700,eBioscience,RRID:AB_657752;Cat # 56-0454-82,
"software, algorithm (IgorPro version 6.3)",IgorPro,WaveMetrics,https://www.wavemetrics.com/order/order_igordownloads6.htm,
"software, algorithm (MicrosoftExcel 2011)",Microsoft Excel,Microsoft,https://www.microsoft.com/en-us/store/d/excel-2016-for-mac/,
"software, algorithm (pClamp 10)",pClamp,Axon,http://mdc.custhelp.com/app/answers/detail/a_id/18779/~/axon%E2%84%A2-pclamp%E2%84%A2-10-electrophysiology-data-acquisition-%26-analysis-software,
"software,algorithm (MetaFluor 7.8)",MetaFluor,Molecular Devices,https://www.moleculardevices.com/systems/metamorph-research-imaging/metafluor-fluorescence-ratio-imaging-software,
"software, algorithm (MATLAB)",MATLAB,MathWorks,https://www.mathworks.com/downloads/,
"software, algorithm (FIJI)",FIJI,NIH,https://imagej.net/Fiji/Downloads,
"software,algorithm (LabChart Software)",LabChart Software,AD Instruments,https://www.adinstruments.com/products/labchart,
"software,algorithm (Graphpad Prism 7)",Graphpad Prism,Graphpad,https://www.graphpad.com/scientific-software/prism/,
"software,algorithm (FlowJo 10.4.2)",FlowJo,FlowJo,https://www.flowjo.com/solutions/flowjo/downloads,
"software, algorithm (custom)",custom-madesoftware in MATLAB,this paper,NA,"https://github.com/buh2003/SpikeSortingPCA_DBSCAN(Hoffman, 2018; copyarchived athttps://github.com/elifesciences-publications/SpikeSortingPCA_DBSCAN)"
"other (Bovine serum albumin,cold ethanol fraction,pH 5.2,≥96%)",BSA,Sigma-Aldrich,CAS 9048-46-8;Cat # A4503,
"other (Isolectin B4 (Bandeireiasimplicifolia), FITC-conjugate)",IB4-FITC; IB4,Enzo Life Sciences,Cat # ALX-650–001F-MC05,
other (Normal Goat Serum),NGS,Abcam,Cat # ab7481,
"peptide, recombinantprotein (δ-theraphototoxin-Hm1a)",Hm1a,other;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919188/;PMID: 4919188,NA,obtained from thelaboratoryof David Julius (UCSF)
