,Controls,HLU,ANOVA results
Site,Vehicle (n= 10),mBMPR1A‐mFc (n= 10),Vehicle (n= 10),mBMPR1A‐mFc (n= 10),pload,ptreatment,pinteraction
Distal trabecular
BV/TV (%),9.20 ± 0.005,15.50 ± .008a,7.21 ± 0.008b,"13.10 ± .005a,b",0.008,<,0.5
Tb.N (mm–1),3.83 ± 0.09,4.04 ± 0.05,3.73 ± 0.06,3.99 ± 0.08a,0.4,0.003,0.9
Tb.Th (mm),0.049 ± 0.001,0.064 ± 0.002a,0.045 ± 0.002b,0.055 ± 0.001a,0.009,<,0.04
Tb.Sp (mm),0.256 ± 0.007,0.235 ± 0.004a,0.263 ± 0.005,0.238 ± 0.005a,0.5,<,1.0
ConnD (mm–3),80 ± 7,104 ± 4a,65 ± 8,112 ± 7a,0.8,<,0.2
SMI,3.03 ± 0.08,2.57 ± 0.08a,3.15 ± 0.09,2.47 ± 0.05a,0.9,<,0.3
Midshaft cortical
Tt.CSA (mm2),1.62 ± 0.02,1.58 ± 0.02,1.57 ± 0.03,1.56 ±,0.1,0.3,0.5
Ct.BA (mm2),0.66 ± 0.01,0.69 ± 0.01a,0.56 ± 0.01b,"0.64 ± 0.01a,b",<,0.003,0.5
Ct.MA (mm2),0.91 ± 0.014,0.83 ± 0.013a,0.99 ± 0.023b,0.88 ± 0.016a,<,0.0009,0.6
Ct.BA/TA (%),40.9 ± 0.3,43.8 ± 0.6a,35.70 ± 0.4b,"38.7 ± 0.6a,b",0.1,0.0195,0.8
Ct.Th (mm),0.159 ± 0.002,0.173 ± 0.004a,0.136 ± 0.003b,"0.148 ± 0.002a,b",<,<0.0001,0.7
Ct.TMD (mg HA/cm3),1186 ± 3,1185 ± 4,1173 ± 5b,1184 ±,0.08,0.3,0.2
pMOI (mm4),0.291 ± 0.008,0.288 ± 0.007,0.244 ± 0.009b,0.257 ± 0.008b,<0.0001,0.5,0.3
Ct.Po (%),0.257 ± 0.012,0.259 ± 0.007,0.267 ± 0.017,0.257 ± 0.008,0.7,0.7,0.6
