Cyt,Effect,Diff,Se,Df,pValue
GM-CSF,"Iso (µg, R)",−4.4,0.5784,31.2,1.36 × 10−8
GM-CSF,Iso (1g),−2.8,0.624,24.5,0.000147
GM-CSF,Iso × R (µg),−2.95,0.8635,43.9,0.00138
GM-CSF,Iso × R ×g,−6.5,1.5547,32.9,0.000202
GM-CSF,R (µg),2.85,0.4337,16.1,6.28 × 10−6
GM-CSF,R ×g,4.15,0.9974,18.5,0.000556
IL-10,"Iso (µg, R)",−3.05,0.6062,7.7,0.00114
IL-10,Iso (µg),−1.5,0.4324,36.2,0.00137
IL-10,R (µg),2.9,0.3257,19.9,2.26 × 10−8
IL-12p70,"Iso (µg, R)",0.2468,0.0496,8.39,0.000941
IL-12p70,Iso × R (µg),0.171,0.049,15.4,0.0032
IL-12p70,R (µg),−0.2024,0.0416,18.8,0.000111
IL-13,"Iso (µg, R)",−3.55,0.4825,90.5,8.18 × 10−11
IL-13,Iso (1g),−2.8,0.5063,68.6,5.42 × 10−7
IL-1B,"Iso (µg, R)",−2.4713,0.5444,13.6,0.000493
IL-1B,Iso (1g),−0.9541,0.214,73.4,0.0000292
IL-1B,Iso × R (µg),−2.1307,0.5551,12.8,0.0021
IL-1B,R (µg),2.709,0.4346,11.7,0.0000485
IL-2,µg,−0.1161,0.0403,106,0.00475
IL-2,Iso (µg. R),−0.2931,0.0611,20.6,0.000103
IL-2,Iso (1g),−0.1642,0.0402,48,0.000164
IL-2,R (µg),0.2543,0.0444,51.2,5.46 × 10−7
IL-2,R ×g,0.3121,0.0776,22.8,0.000542
IL-4,"Iso (µg, R)",−0.1665,0.0475,12,0.00432
IL-4,Iso (µg),−0.0993,0.0326,29.2,0.00488
IL-4,R (µg),0.1426,0.0414,44.9,0.00124
IL-5,"Iso (µg, R)",−4.4,0.5475,29.3,6.85 × 10−9
IL-5,Iso (1g),−3.1,0.7242,29.5,0.000181
IL-5,Iso × R ×g,−5.9,1.5538,23,0.000932
IL-5,R (µg),2.4,0.5134,60.8,0.0000168
IL-6,"Iso (µg, R)",−3.7,0.7387,8.3,0.000933
IL-6,Iso (µg),−2.3,0.3979,240,2.30 × 10−8
IL-6,Iso (1g),−3.4,0.587,11.1,0.000115
IL-6,R (µg),2.3,0.3138,41.5,5.26 × 10−9
IL-7,µg,0.0751,0.0154,73.1,6.50 × 10−6
IL-7,"Iso (µg, R)",0.1521,0.0246,23.2,2.47 × 10−6
IL-7,Iso (1g),0.1062,0.0216,23.3,0.0000547
IL-7,Iso ×g,−0.0889,0.023,30.5,0.000532
IL-7,Iso × R (µg),0.1348,0.0289,23.2,0.000108
IL-7,Iso × R ×g,0.2149,0.0417,20.5,0.0000453
IL-7,R (µg),−0.161,0.0216,30.3,2.47 × 10−8
IL-7,R ×g,−0.1724,0.0254,36.2,6.06 × 10−8
IL-8,"Iso (µg, R)",−3.2,0.5387,21.8,5.82 × 10−6
IL-8,R (µg),2.5,0.6377,53.7,0.000252
TNFα,"Iso (µg, R)",−4,0.4773,16.4,2.48 × 10−7
TNFα,Iso (µg),−2.9,0.511,26.6,5.24 × 10−6
TNFα,Iso (1g),−4.2,0.5913,24.1,2.38 × 10−7
TNFα,R (µg),2.7,0.4469,22.6,3.96 × 10−6
TNFα,R ×g,2.8,0.693,10.2,0.00227
