,,n,Pre-flight,Post-flight,Mean diff.,Mean % diff.,p-Value
Lumbar lordosis (°),,6,41.9±12.9,37.2±11.0,−4.73,−11.1%,.009
Vertebral wedging (°),,6,4.4±9.8,2.1+11.2,−2.31,−29.0%,.17
Disc wedging (°),,6,37.6±9.8,35.0±11.2,−2.54,−7.5%,.08
Multifidus CSA (mm2),,6,1235.7±252.2,1158.1±231.4,−77.7,−6.2%,.16
Multifidus FCSA (mm2),,6,1002.5±319.9,847.3±253.1,−155.2,−14.2%,.06
Multifidus FCSA/CSA (%),,6,80.0±13.1,72.6±15.3,−7.4,−9.3%,.07
Erector spinae CSA (mm2),,6,5010.7±815.2,4817.9±1026.1,−192.9,−3.9%,.28
Erector spinae FCSA (mm2),,6,3903.7±457.6,3486.5±1186.2,−417.2,−11.5%,.18
Erector spinae FCSA/CSA (%),,6,78.5±5.1,71.5±1.2,−6.9,−9.0%,.09
Active FE ROM (°),L1-L2,4,6.8±4.3,7.1 ±4.8,0.35,7.7%,.73
,L2-L3,5,8.3±4.3,6.9±4.9,−1.42,−22.1%,.049
,L3-L4,5,8.8±4.9,7.6±4.8,−1.27,−17.3%,.016
,L4-L5,5,8.9±3.1,6.3±2.5,−2.65,−30.3%,.004
,L5-S1,4,6.4±1.4,7.0±3.4,0.59,5.3%,.69
Passive FE ROM (°),L1-L2,2,8.5±5.5,8.3±8.3,−0.25,−17.1%,.46
,L2-L3,5,3.9±1.1,4.2±2.1,0.27,10.5%,.68
,L3-L4,5,7.4±3.8,7.7±3.1,0.21,17.7%,.56
,L4-L5,5,9.0±2.5,10.8±2.2,1.76,35.7%,.79
,L5-S1,5,11.8±6.0,7.2±4.5,−4.51,−40.0%,.031
Disc water content (mean T2 intensity),L1-L2,6,109.7±49.9,107.9±55.7,−1.83,−1.6%,.48
,L2-L3,6,93.2±38.1,84.9±36.2,−8.30,−8.9%,.30
,L3-L4,6,71.6±37.1,66.8±29.1,−4.80,−6.7%,.19
,L4-L5,6,78.0±33.5,78.5±22.8,0.49,0.6%,.53
,L5-S1,6,46.7±15.6,51.7±16.2,5.03,10.7,.87
,L1-S1,6,399.1 ±138.4,389.7±127.0,−9.41,−2.4%,.43
