Measurement,Fish oil (n= 11),Placebo (n= 13),Difference between groups†
Change compared to baseline,Pvalue*,Change compared to baseline,Pvalue*
Omega-3 index,,,,,
Omega-3 index (%)‡,7.2 ± 1.2,<0.001,−0.4 ± 0.9,0.31,<0.001
Lipid profile,,,,,
Total cholesterol (mg/dL),−8.7 ± 21,0.26,−5.7 ± 14,0.20,0.71
Triglycerides (mg/dL),−14 ± 46,0.40,6 ± 28,0.51,0.26
HDL (mg/dL),2.2 ± 6.2,0.31,−1.5 ± 7.2,0.52,0.25
LDL (mg/dL),−8.2 ± 25.1,0.35,−3.3 ± 8.6,0.26,0.57
Inflammation,,,,,
hsCRP (mg/L),0.8 ± 5.5,0.67,−0.7 ± 3.4,0.52,0.47
IL-6 (pg/mL),−0.2 ± 0.6,0.37,−0.4 ± 2.4,0.64,0.87
ICAM-1 (ng/mL),71 ± 145,0.20,16 ± 139,0.70,0.41
Hemodynamic parameters,,,,,
Systolic blood pressure (mm Hg),−2.5 ± 12,0.50,−0.5 ± 23,0.93,0.79
Diastolic blood pressure (mm Hg),−0.8 ± 8.3,0.75,−1.5 ± 10.8,0.62,0.86
Index ABI,0.06 ± 0.18,0.34,0.05 ± 0.11,0.16,0.81
Patient-perceived walking Performance,,,,,
"Walking distance (score, from 0 to 100)",11 ± 14,0.06,1 ± 26,0.87,0.35
"Walking speed (score, from 0 to 100)",0.3 ± 23.5,0.97,1.2 ± 31.6,0.90,0.95
"Stairs climbing (score, from 0 to 100)",4.2 ± 17,0.47,3.1 ± 18,0.58,0.89
6-min walk test,,,,,
Time to claudication (s),94 ± 88,0.12,7 ± 89,0.83,0.14
Distance to claudication (meters),106 ± 92,0.06,−6 ± 99,0.86,0.06
Brachial artery FMD,,,,,
Brachial FMD (%)‡,−1.5 ± 3.7,0.27,2.9 ± 3.6,0.03,0.02
