Product,Fish oil (n= 11),Placebo (n= 13),Difference between groups†
Pre [range],Post [range],Pvalue*,Pre [range],Post [range],Pvalue*
Plasma EPA,"2783 ± 1244 [1528, 5464]","9568 ± 2546 [5829, 13,280]",<0.001,"3773 ± 1979 [1182, 6082]","4023 ± 2480 [1559, 8612]",0.58,<0.001
EPA products,,,,,,,
5-HEPE,"11 ± 11 [2, 37]","67 ± 42 [31, 139]",0.003,"10.0 ± 5.9 [3, 23]","14 ± 10 [5, 43]",0.07,<0.001
11-HEPE,"3.2 ± 2.7 [1, 10]","39 ± 32 [17, 116]",0.02,"4.7 ± 3.2 [1, 10]","5.9 ± 3.8 [2, 14]",0.28,0.002
12-HEPE,"24 ± 21 [3, 63]","90 ± 64 [9, 201]",0.02,"142 ± 165 [6, 371]","67 ± 42 [14, 170]",0.17,0.04
15-HEPE,"19 ± 16 [9, 57]","99 ± 49 [45, 192]",0.002,"20 ± 12 [5, 39]","24 ± 13 [5, 43]",0.08,<0.001
18-HEPE,"23 ± 16 [12, 62]","195 ± 119 [113, 469]",0.005,"36 ± 20 [11, 68]","41 ± 32 [13, 121]",0.47,<0.001
LXA5,"0.05 ± 0.13 [0, 0.4]","0.62 ± 0.66 [0, 2]",0.05,"0.19 ± 0.31 [0, 1]","0.20 ± 0.56 [0, 2]",0.93,0.04
RvE1,"0.32 ± 0.90 [0, 3]","0.69 ± 0.83 [0, 2]",0.06,"0.33 ± 0.88 [0, 3]","0.83 ± 1.10 [0, 3]",0.22,0.78
RvE2,"13 ± 14 [0, 32]","9.7 ± 3.5 [0, 22]",0.54,"13 ± 31 [0, 101]","6.2 ± 6.1 [0, 17]",0.54,0.83
RvE3,"33 ± 38 [0, 107]","187 ± 199 [0, 539]",0.04,"26 ± 38 [0, 119]","58 ± 82 [0, 183]",0.08,0.04
Plasma DHA,"7252 ± 3083 [4265, 12,918]","9298 ± 2166 [5539, 11,951]",0.03,"6629 ± 2356 [3542, 10,312]","7121± 2344 [3878, 11,734]",0.23,0.06
DHA products,,,,,,,
4-HDHA,"3.1 ± 3.0 [1, 10]","11.0 ± 2.8 [8, 16]",0.001,"5.0 ± 2.9 [2, 9]","5.6 ± 3.9 [2, 15]",0.48,<0.001
7-HDHA,"3.4 ± 2.1 [0, 6]","4.7 ± 1.7 [3, 7]",0.07,"2.0 ± 1.2 [1, 4]","2.8 ± 2.0 [1, 6]",0.23,0.59
13-HDHA,"10.2 ± 6.5 [5, 26]","28.3 ± 9.2 [20, 49]",0.004,"11.0 ± 6.8 [2, 26]","12.1 ± 7.9 [3, 28]",0.55,<0.001
14-HDHA,"11 ± 11 [1, 32]","44 ± 27 [20, 86]",0.01,"9.0 ± 4.7 [2, 17]","24 ± 24 [3, 77]",0.04,0.12
17-HDHA,"25 ± 21 [11, 76]","90 ± 30 [48, 128]",<0.001,"27 ± 16 [4, 56]","38 ± 30 [6, 92]",0.10,<0.001
21-HDHA,"9.7 ± 6.8 [4, 23]","31.7 ± 8.8 [22, 48]",<0.001,"9.1 ± 4.9 [3, 17]","12 ± 12 [3, 44]",0.23,<0.001
RvD1,"0.10 ± 0.27 [0, 1]","0.12 ± 0.35 [0, 1]",0.87,"0 ± 0 [0, 0]","0.16 ± 0.38 [0, 1]",0.21,0.52
RvD2,"0 ± 0 [0, 0]","15 ± 30 [0, 87]",0.19,"0.9 ± 1.8 [0, 5]","1.5 ± 1.9 [0, 5]",0.48,0.12
RvD3,"0.13 ± 0.17 [0, 0.4]","0.17 ± 0.23 [0, 1]",0.55,"0.04 ± 0.07 [0, 0.2]","0.03 ± 0.07 [0, 0.2]",0.92,0.55
RvD4,"2.1 ± 0.4 [0, 17]","0 ± 0 [0, 0]",0.35,"7.7 ± 20.5 [0, 68]","59 ± 191 [0, 636]",0.34,0.39
RvD5,"0 ± 0 [0, 0]","0.58 ± 1.09 [0, 3]",0.18,"0 ± 0 [0, 0]","0 ± 0 [0, 0]",NA,0.09
17R-RvD1,"0.01 ± 0.04 [0, 0.1]","0.11 ± 0.23 [0, 1]",0.30,"0.5 ± 1.7 [0, 6]","0.9 ± 2.6 [0, 9]",0.23,0.43
17R-RvD3,"0 ± 0 [0, 0]","0.03 ± 0.05 [0, 0.1]",0.11,"0 ± 0 [0, 0]","0 ± 0 [0, 0]",NA,0.05
PD1,"2.3 ± 5.0 [0, 15]","5.1 ± 12.6 [0, 36]",0.34,"5.6 ± 14.2 [0, 48]","3.6 ± 5.8 [0, 17]",0.61,0.35
17R-PD1,"1.8 ± 5.1 [0, 15]","0.9 ± 2.5 [0, 7]",0.35,"4.6 ± 7.7 [0, 20]","4.2 ± 9.4 [0, 31]",0.92,0.91
"10S, 17S-diHDHA","0.02 ± 0.05 [0, 0.2]","0.31 ± 0.82 [0, 2]",0.36,"0.08 ± 0.21 [0, 1]","2.5 ± 6.2 [0, 21]",0.22,0.35
MaR1,"0.13 ± 0.20 [0, 0.53]","0.24 ± 0.23 [0, 0.54]",0.20,"0.04 ± 0.09 [0, 0.3]","0.06 ± 0.13 [0, 0.4]",0.76,0.31
MaR2,"2.2 ± 2.0 [0, 5.4]","2.5 ± 2.5 [0, 7]",0.51,"0.9 ± 1.6 [0, 5]","1.3 ± 2.0 [0, 6]",0.10,0.82
"7S,14S-diHDHA","0.01 ± 0.03 [0, 0.1]","0.04 ± 0.11 [0, 0.3]",0.35,"0.16 ± 0.39 [0, 1]","0.22 ± 0.35 [0, 1]",0.45,0.75
