Experiment 3,Control,HSC → WT
""
Necropsy,,
Body weight (g),22.2 ± 0.8,22.2 ± 0.8
Abdominal white adipose tissue weight (g),0.45 ± 0.10,0.51 ± 0.07
Uterus weight (mg),0.12 ± 0.01,0.04 ± 0.003a
Total-body dual energy X-ray absorptiometry,,
Body fat (%),22.4 ± 1.0,20.9 ± 1.0
Bone area (cm2),6.97 ± 0.21,7.28 ± 0.12
Bone mineral content (g),0.322 ± 0.016,0.340 ± 0.012
Bone mineral density (g/cm2),0.046 ± 0.001,0.047 ± 0.001
Tibia,,
Length (mm),17.3 ± 0.2,17.5 ± 0.1
Bone area (cm2),0.40 ± 0.01,0.40 ± 0.01
Bone mineral content (g),0.017 ± 0.001,0.017 ± 0.001
Bone mineral density (g/cm2),0.043 ± 0.001,0.043 ± 0.001
Bone volume (mm3),15.3 ± 0.7,16.5 ± 0.5
