Experiment 4,W/W-v control,HSC → W/W-v sublethal (5 Gy),HSC → W/W-v lethal (2 × 5 Gy)
""
Necropsy
Body weight (g),21.6 ± 0.3,23.1 ± 0.5a,17.6 ± 0.5a
Abdominal white adipose tissue weight (g),0.55 ± 0.05,0.48 ± 0.07,0.16 ± 0.04a
Uterus weight (mg),0.05 ± 0.01,0.02 ± 0.003a,0.02 ± 0.002a
Total-body dual energy X-ray absorptiometry
Body fat (%),21.6 ± 0.7,19.2 ± 0.6a,16.1 ± 0.6a
Bone area (cm2),6.75 ± 0.15,7.11 ± 0.07,6.09 ± 0.17a
Bone mineral content (g),0.302 ± 0.010,0.320 ± 0.006,0.251 ± 0.012a
Bone mineral density (g/cm2),0.045 ± 0.001,0.045 ± 0.001,0.041 ± 0.001a
Tibia
Length (mm),17.3 ± 0.1,17.7 ± 0.07a*,16.7 ± 0.2a
Bone area (cm2),0.37 ± 0.01,0.37 ± 0.01,0.32 ± 0.01a
Bone mineral content (g),0.015 ± 0.000,0.015 ± 0.000,0.012 ± 0.001a
Bone mineral density (g/cm2),0.039 ± 0.001,0.041 ± 0.001,0.036 ± 0.001
Bone volume (mm3),14.5 ± 0.5,14.8 ± 0.4,11.9 ± 0.45a
Tibia diaphysis
Cross-sectional volume (mm3),0.19 ± 0.00,0.19 ± 0.00,0.16 ± 0.00a
Cortical volume (mm3),0.13 ± 0.00,0.14 ± 0.00,0.11 ± 0.004a
Marrow volume (mm3),0.06 ± 0.00,0.05 ± 0.00,0.04 ± 0.002a
Cortical thickness (μm),209 ± 2,221 ± 5,208 ± 7
Polar moment of inertia (mm4),0.09 ± 0.00,0.09 ± 0.00,0.08 ± 0.01a
