Clone,average,average,average,average,ANOVA,Tukey Static,Tukey Static,Tukey Static,Tukey Flight,Tukey Flight,Tukey RWV
,static,flight,RWV,RPM,,v. Flight,v. RWV,v. RPM,v. RWV,v. RPM,v. RPM
YE Media
INO1,350 ± 19,666 ± 85,170 ± 8,206 ± 7,0.00001,0.0002,0.003,0.02,0.0002,0.0002,ns
TRR1,170 ± 21,289 ± 8,164 ± 4,180 ± 3,0.002,0.002,ns,ns,0.003,0.008,ns
SSA4,208 ± 22,314 ± 11,218 ± 3,128 ± 1,0.0001,0.004,0.97,0.03,ns,0.0002,0.04
BEM1,246 ± 47,144 ± 2,136 ± 5,145 ± 5,ns,ns,ns,ns,ns,ns,ns
RPL34B,178 ± 23,254 ± 7,164 ± 6,197 ± 7,0.04,0.05,ns,ns,0.04,ns,ns
ATO3,241 ± 6,132 ± 6,192 ± 13,183 ± 12,ns,ns,ns,ns,ns,ns,ns
EDC3,168 ± 11,134 ± 2,137 ± 4,158 ± 1,0.05,0.09,0.09,ns,ns,ns,ns
YPD Media
INO1,369 ± 119,849 ± 10,544 ± 15,662 ± 34,0.03,0.02,ns,ns,ns,ns,0.85
TRR1,445 ± 12,517 ± 8,464 ± 7,404 ± 13,0.0005,0.006,ns,0.1,0.07,0.0005,0.03
SSA4,222 ± 23,350 ± 3,330 ± 8,312 ± 24,0.002,0.003,0.01,0.04,ns,ns,ns
BEM1,198 ± 14,275 ± 23,264 ± 14,343 ± 8,0.00005,0.01,0.03,0.0002,ns,0.06,0.02
RPL34B,268 ± 12,269 ± 3,285+ 5,269 ± 11,ns,ns,ns,ns,ns,ns,ns
ATO3,153 ± 11,216 ± 5,39 ± 57,350 ± 21,0.00004,ns,0.0002,0.0007,0.006,0.045,ns
EDC3,310 ± 26,320 ± 7,339 ± 11,325 ± 9,ns,ns,ns,ns,ns,ns,ns
