Treatment,CLEAR,TURBID
PPP,HB,PPP,HB
T1,CONTROL,3.7E+04 ± 1.9E+04,1.5E+06 ± 1.5E+05,1.5E+05 ± 9.3E+04,4.4E+06 ± 7.5E+05
0.02,2.5E+04 ± 2.9E+03,1.6E+06 ± 4.7E+05,"6.9E+04 ± 4,4E+04",4.1E+06 ± 1.1E+06
0.2,3.2E+04 ± 1.0E+04,1.1E+06 ± 9.7E+04,1.3E+05 ± 4.5E+04,4.5E+06 ± 1.2E+06
2,2.6E+04 ± 4.8E+03,2.0E+06 ± 1.4E+06,1.2E+05 ± 4.1E+04,4.8E+06 ± 1.1E+06
20,2.8E+04 ± 2.4E+03,3.9E+06 ± 3.0E+05,2.0E+05 ± 3.0E+04,2.6E+06 ± 1.2E+06
200,2.4E+04 ± 2.7E+03,2.5E+06 ± 7.3E+04,2.6E+05 ± 8.8E+04,5.0E+06 ± 2.6E+06
"2,000",1.7E+05 ± 4.9E+04,2.9E+06 ± 3.6E+05,6.9E+05 ± 6.5E+04,3.7E+06 ± 5.6E+05
Tf,CONTROL,3.3E+04 ± 6.8E+03,2.6E+06 ± 1.4E+06,1.7E+05 ± 4.9E+04,2.0E+06 ± 2.1E+05
0.02,2.2E+04 ± 1.3E+04,3.5E+06 ± 1.6E+06,1.7E+05 ± 3.4E+04,2.5E+06 ± 6.8E+05
0.2,2.4E+04 ± 1.2E+04,3.2E+06 ± 1.4E+06,1.5E+05 ± 2.3E+04,1.9E+06 ± 6.1E+05
2,3.2E+04 ± 3.8E+03,1.8E+06 ± 1.3E+06,1.2E+05 ± 1.7E+04,2.1E+06 ± 1.2E+06
20,2.6E+04 ± 9.0E+02,2.8E+06 ± 1.4E+06,1.6E+05 ± 5.5E+04,2.2E+06 ± 8.4E+05
200,2.5E+04 ± 4.1E+03,3.1E+06 ± 1.2E+06,5.2E+05 ± 1.4E+05,3.1E+06 ± 3.3E+05
"2,000",2.2E+04 ± 5.3E+03,7.9E+06 ± 4.3E+06,8.7E+05 ± 2.3E+05,3.0E+06 ± 1.3E+06
