Acronym/term,Name,Definition,Reference
ABRS,Advanced Biological Research System,NASA on-orbit growth facility that provided LED lighting and sample photography,"(Paul et al., 2012;Paul et al., 2013b)"
Affymetrix microarray,–,Microarray to monitor patterns of gene expression produced by Affymetrix Inc.,–
AGI,Arabidopsis Gene Initiative,Consortium of researchers studying the genome ofArabidopsis thaliana,"(Kaul et al., 2000)"
AGRIS AtTFD,AGRIS Arabidopsis Transcription Factor database,A searchable database of ~1770Arabidopsis thalianatranscription factors grouped into families by conserved domain structures. Maintained by The Arabidopsis Gene Regulatory Information Server (AGRIS).,"(Palaniswamy et al., 2006)"
ATTED II,Arabidopsis thalianatrans-factor and cis-element prediction database,A database cataloging plant gene co-expression data,"(Obayashi et al., 2018)"
BAM,Binary compressed sequence Alignment Map,A file containing information on the alignment of each read from a DNA sequencing machine to the genome of a target organism,–
BRIC,Biological Research in Canister,Spaceflight hardware allowing for plant growth on orbit. Samples are sealed prior to launch. Lighting provided only in the BRIC-LED version,
CATdb,–,A repository of transcriptome data forArabidopsis thalianaproduced by the Complete Arabidopsis Transcriptome Micro Array (CATMA) platform,"(Gagnot et al., 2008)"
CATMA microarray,Complete Arabidopsis Transcript MicroArray,Microarray to monitor patterns of gene expression using technology developed by the European CATMA initiative.,"(Sclep et al., 2007;Gagnot et al., 2008)"
CPM,counts per million reads mapped,"In RNAseq: the counts of number of reads per gene scaled to the number of fragments sequenced. Unlike FPKM (see below), this value is not normalized for the effects of gene length or amount of sequencing on count number per gene.",–
CyVerse,–,A cloud computing infrastructure supported through the National Science Foundation's Directorate of Biological Sciences.,"(Goff et al., 2011;Merchant et al., 2016)"
D3 JavaScript,–,A library of routines for the Javascript programming language that enables interactive data visualizations within a web browser.,–
DESeq,–,An analysis tool for calculating differential gene expression.,"(Anders and Huber, 2010;Love et al., 2014)"
EdgeR,Empirical analysis of Digital Gene Expression in R,An analysis tool calculating differential gene expression.,"(Robinson et al., 2009;Love et al., 2014)"
eFP-Seq Browser,–,An RNA-seq data exploration and visualization tool.,"(Sullivan et al., 2019)"
EMBL EBI Expression atlas,–,A database of patterns of gene expression under different conditions. Maintained by The European Molecular Biology Laboratory's (EMBL) European Bioinformatics Institute (EBI).,"(Papatheodorou et al., 2018)"
EMCS,European Modular Cultivation System,"On-orbit growth hardware developed by the European Space Agency. Provides an on-board centrifuge, video and lighting, temperature and atmospheric control.","(Correll et al., 2013;Mazars et al., 2014;Vandenbrink et al., 2019)"
Ensembl,–,"A database of genome-related information maintained by the European Bioinformatics Institute and the Wellcome Trust Sanger Institute,","(Kersey et al., 2018;Zerbino et al., 2018)"
Entrez,–,The US National Center for Biotechnology Information (NCBI)'s database for gene-specific information,"(Maglott et al., 2011)"
ePlant,–,A portal that provides access to multiple web services to download genome-level data on plant genes.,"(Waese et al., 2017)"
Expression Angler,–,A tool that finds other genes with similar expression patterns to a gene of interest.,"(Austin et al., 2016)"
FASTQ file,–,File containing the nucleotide sequences identified by next generation nucleotide sequencing machines,–
FPKM,Fragments Per Kilobase of transcript per Million mapped reads,An estimation of gene expression based on RNA-sequencing data that is normalizing for gene length and the amount of sequencing (longer and more heavily sequenced genes will naturally produce more reads independent of their expression level).,–
Gene Symbol,–,Commonly used gene name such as AOX1A to denote the Arabidopsis geneALTERNATIVE OXIDASE 1A,–
GeneLab,–,A repository for spaceflight-related ‘omics-level data administered by the US National Aeronautics and Space Administration (NASA).,–
