Crop,Roots,Stems and
name,DW,leaves DW
Batavia,8.9–34.2 g/m2(N= 3),n.a.
Expertise,20.5–37.9 g/m2(N= 3),n.a.
Outredgeous,21.1–38.5 g/m2(N= 3),n.a.
Waldmann’s Green,11.3–22.9 g/m2(N= 3),n.a.
Red Giant,42.0 g/m2(N= 1),75.6 g/m2(N= 1)
Frizzy Lizzy,42.0 g/m2(N= 1),20.8 g/m2(N= 1)
Swiss Chard,21.8–47.0 g/m2(N= 2),81.4–94.4 g/m2(N= 2)
Arugula (initial light intensity),Not measured,n.a.
Arugula (higher light intensity),21.3–58.8 g/m2(N= 6),n.a.
Mizuna,Not measured,Not measured
Basil Dolly,76.5–127.1 g/m2(N= 2),179.3–252.1 g/m2(N= 2)
Parsley,146.3 g/m2(N= 1),113.4 g/m2(N= 1)
Chives,146.3 g/m2(N= 1),1033.5 g/m2(N= 1)
Tomato F1 3496B,1411–1713 g/m2(N= 2),Erroneous measurement
Tomato F1 1202,1153–1567 g/m2(N= 2),Erroneous measurement
Cucumber Picowell,93.8–133.5 g/m2(N= 4),Erroneous measurement
Radish Raxe,96.4–99.4 g/m2(N= 3),89.0–123.5 g/m2(N= 2)
Radish Lennox,Not measured,Not measured
Kohlrabi,27.8–51.0 g/m2(N= 3),198.4–253.3 g/m2(N= 2)
