Radiation,1Gor μG,Total Spreads Scored,No. of Aberrant Spreads,Simple Exchanges *,Complex Exchanges *,Total Exchanges *
Control(0 Gy),1G,1049,29,2.13 ± 0.71,0.24 ± 0.24,2.36 ± 0.75
μG,1027,27,2.65 ± 0.88,0.48 ± 0.34,3.14 ± 0.87
,,(p-value),,(0.50),(0.62),(0.54)
X-ray,1G,1034,34,4.07 ± 0.99,0.96 ± 0.48,5.03 ± 1.10
(0.5 Gy),μG,1039,39,6.44 ± 1.24,2.15 ± 0.72,8.59 ± 1.43
,,(p-value),,(0.022),(0.27),(0.059)
X-ray,1G,670,50,10.36 ± 1.96,2.96 ± 1.05,13.31 ± 2.22
(1.1 Gy),μG,523,50,16.11 ± 2.76,5.69 ± 1.64,21.80 ± 3.21
,,(p-value),,(0.70),(0.17),(0.021)
X-ray,1G,330,50,23.28 ± 4.18,10.51 ± 2.81,33.04 ± 4.98
(1.5 Gy),μG,253,50,34.28 ± 5.79,14.69 ± 3.79,48.97 ± 6.93
,,(p-value),,(0.50),(0.44),(0.041)
C-ion,1G,1034,34,5.51 ± 1.15,1.20 ± 0.54,6.71 ± 1.27
(0.25 Gy),μG,817,49,8.49 ± 1.60,1.82 ± 0.74,10.31 ± 1.77
,,(p-value),,(0.83),(0.55),(0.091)
C-ion,1G,435,49,16.52 ± 3.07,9.11 ± 2.28,25.63 ± 3.82
(0.5 Gy),μG,344,45,23.77 ± 4.14,10.81 ± 2.79,36.02 ± 5.09
,,(p-value),,(0.074),(0.71),(0.079)
