,Cultivable bacteria,Cultivable fungi,ATP based microbial,Bacterial 16S rRNA,Fungal ITS
,(CFU/m2),(CFU/m2),population (RLU/m2),(copies/m2),(copies/m2)
Sample ID,R2A,BA,PDA,Total,Intracellular,Untreated,PMA-Treated,Untreated,PMA-Treated
CRV1-L1,1.3 × 105,5.1 × 102,3.8 × 104,4.9 × 105,6.6 × 105,8.6 × 105,4.3 × 105,7.0 × 105,BDL
CRV1-L2,2.8 × 106,1.0 × 106,2.9 × 105,9.9 × 106,1.2 × 107,1.0 × 1010,5.6 × 108,1.3 × 106,2.6 × 106
CRV1-L3,BDL,BDL,BDL,2.8 × 101,4.0 × 100,3.7 × 105,2.3 × 105,BDL,BDL
CRV1-L4,1.8 × 104,BDL,2.0 × 104,1.9 × 105,3.1 × 105,7.2 × 105,3.2 × 105,7.2 × 104,6.6 × 104
CRV1-L5,BDL,BDL,BDL,3.1 × 101,5.0 × 100,5.0 × 105,2.3 × 105,BDL,BDL
CRV1-L6,BDL,BDL,BDL,3.1 × 101,9.0 × 100,3.1 × 105,3.3 × 105,BDL,BDL
CRV1-L7,4.0 × 105,1.0 × 106,1.7 × 105,2.3 × 106,2.6 × 106,1.4 × 108,6.0 × 107,7.6 × 105,7.7 × 105
CRV1-FC,BDL,BDL,BDL,1.9 × 101,6.0 × 100,4.3 × 103,2.7 × 103,BDL,6.3 × 102
CRV2-L1,3.7 × 104,5.0 × 102,1.5 × 103,1.3 × 105,9.0 × 104,4.5 × 105,2.8 × 105,6.1 × 105,BDL
CRV2-L2,BDL,BDL,BDL,6.0 × 101,1.5 × 101,1.9 × 105,7.9 × 104,2.6 × 105,1.8 × 105
CRV2-L3,BDL,BDL,BDL,1.8 × 105,1.9 × 101,2.8 × 105,1.0 × 105,1.3 × 105,BDL
CRV2-L4,BDL,BDL,BDL,2.8 × 101,3.0 × 100,3.8 × 104,6.1 × 104,BDL,BDL
CRV2-L5,BDL,BDL,BDL,4.1 × 101,2.0 × 100,7.3 × 104,3.6 × 104,BDL,BDL
CRV2-L6,BDL,BDL,BDL,2.2 × 101,8.0 × 100,5.3 × 104,5.4 × 104,8.1 × 104,BDL
CRV2-L7,3.3 × 103,1.5 × 103,1.5 × 103,8.5 × 101,1.3 × 101,2.8 × 105,9.5 × 104,9.3 × 104,BDL
CRV2-L8,9.5 × 102,BDL,BDL,9.2 × 101,2.4 × 101,2.3 × 105,6.6 × 104,BDL,BDL
CRV2-FC,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
