Fatty acids,1,2,3,4,5,6,7,8,9,10,11
C9:0,-,-,-,0.2,-,0.5,-,-,-,-,-
C11:0,0.31,0.66,0.32,0.7,-,0.8,-,-,-,-,-
C12:0,1.06,0.75,1.81,-,-,-,tr,-,-,1.29,7.0
C13:0,0.76,0.65,0.45,-,-,-,-,-,-,-,-
C14:0,0.71,0.42,0.49,0.28,tr,0.9,tr,-,tr,1.18,-
C16:0,3.02,2.66,2.22,8.7,4.1,8.0,7.6,5.7,5.8,6.16,4.2
C17:0,3.09,2.32,2.02,0.4,-,-,-,-,-,1.07,-
C18:0,1.09,0.71,0.57,5.9,1.0,6.6,1.71,2.8,1.6,2.43,2.8
C19:0,-,-,-,-,tr,-,-,-,tr,-,-
C8:o3-OH,-,-,-,1.1,-,1.5,-,-,-,-,-
iso- C10:0,-,-,-,-,2.1,-,-,-,2.4,-,-
C10:02-OH,-,-,-,0.2,-,0.4,-,-,-,-,-
C11:03-OH,-,-,-,-,tr,-,-,-,tr,-,-
C12:1at 11-12,-,-,-,-,tr,-,-,-,tr,-,-
iso- C13:0,-,-,-,-,tr,-,-,-,tr,2.46,-
C13:0 2-OH,-,-,-,-,1.3,-,-,-,-,-,-
anteiso- C14:0,-,-,-,-,-,-,-,-,-,1.94,-
C14:1-ω5c,-,-,-,-,2.4,-,tr,-,2.4,2.21,-
anteiso- Ci5:o,-,-,-,-,tr,-,-,-,1.2,3.10,-
iso- C15:0,-,-,-,-,-,-,-,-,-,2.22,-
iso- C15:03-OH,-,-,-,-,-,-,-,-,-,-,1.6
iso- C15:1F,-,-,-,-,tr,-,-,-,tr,-,-
iso- C15:1G,-,-,-,-,-,-,-,-,-,1.86,-
C16:0 N-alcohol,-,-,-,-,-,-,tr,-,-,-,-
C16:1- ω5c,-,-,-,-,4.9,-,-,-,4.3,-,-
anteiso- C17:0,-,-,-,-,-,-,-,-,-,1.80,-
anteiso- C17:1-ω9c,-,-,-,-,tr,-,-,-,Tr,2.07,-
iso- C17:1-ω5c,-,-,-,-,-,-,-,-,-,2.86,-
iso- C17:03-OH,-,-,-,-,tr,-,-,-,tr,1.76,-
C17:1- ω7c,-,-,-,-,tr,-,-,-,tr,-,-
iso-C18:0,0.58,0.46,0.40,-,-,-,-,-,-,-,-
iso-C18:1 H,-,-,-,-,tr,-,-,-,tr,-,-
C18:0- ω5c,0.26,0.28,0.26,-,-,0.7,-,-,-,-,-
C18:1- ω5c,-,-,-,0.6,-,-,-,-,-,-,-
C18:1- ω9c,-,-,-,-,-,-,tr,-,-,-,-
C18:0-3OH,3.14,2.41,3.84,2.4,1.4,1.7,3.46,-,2.0,-,4.9
C18:3- ω6c,-,-,-,-,-,-,tr,-,-,4.99,-
iso-C19:0,-,-,-,-,tr,-,-,-,-,-,-
C19:0 10-methyl,-,-,-,-,-,-,tr,-,-,-,-
C19:0 cyclo- ω8c,-,-,-,-,-,-,-,-,-,-,1.5
C20:1- ω7c,-,-,-,0.4,-,-,-,-,-,-,-
"C20:2- ω6,9c",-,-,-,-,-,-,-,-,-,-,1.5
Sum In Feature 8*,82.09,85.08,83.97,66.7,57.6,60.3,81.0,86.4,57.5,46.03,73.8
Sum In Feature 5*,-,-,-,0.6,-,0.7,-,-,-,-,-
Sum In Feature 3*,2.43,2.05,2.37,1.3,10.3,1.0,2.24,1.9,11.2,-,0.9
Sum In Feature 2*,2.17,1.99,1.78,1.8,2.2,2.1,1.98,2.8,1.5,3.22,1.9
