Functional description,Predicted genes*
"Cofactors, Vitamins, Prosthetic Groups, Pigments",190
Cell Wall and Capsule,26
"Virulence, Disease, and Defense",61
Potassium metabolism,10
Photosynthesis,11
Miscellaneous,17
"Phages, Prophages, Transposable elements, Plasmids",25
Membrane Transport,69
RNA Metabolism,40
Nucleosides and Nucleotides,92
Protein Metabolism,198
Cell Division and Cell Cycle,2
Motility and Chemotaxis,95
Regulation and Cell signaling,49
Secondary Metabolism,5
DNA Metabolism,99
"Fatty Acids, Lipids, and Isoprenoids",94
Nitrogen Metabolism,14
Dormancy and Sporulation,1
Respiration,151
Stress Response,72
Metabolism of Aromatic Compounds,47
Amino Acids and Derivatives,408
Sulfur Metabolism,17
Phosphorus Metabolism,28
Carbohydrates,246
