EIF2,Mitochondrial dysfunction,NRF2,P70S6K,mTOR
EIF2S2,VDAC1,GSTP1,RPS5,Cdc42
EIF2S3,ATP6F1A,RAP1A,RAP1A,EIF3B
EIF3B,ATP5PD,RAP1B,PPP2R1B,EIF3E
EIF3E,GPX4,EPHX1,RAP1B,EIF3G
EIF3G,ATP5MX,VCP,EIF2S3,EIF4A1
EIF4A1,NDUFV1,MGST3,RPS21,EIF4A2
EIF4A2,ATP5F1C,MAP2K1,MAP2KA,FKBP1A
HRAS,OGDH,GSTM3,RPS16,HRAS
HSPA5,SDHA,PRDX1,RPS4Y1,PPP2R1A
MAP2K1,FIS1,GSTM5,PPP2R1A,PPP2R1B
PABPC1,CYB5A,SOD3,RPS9,PPP2R2A
PPP1CA,HSD17B10,MGST1,RPS20,RAP1A
PPP1CB,UQCRC2,DNAJB11,RPS3,RAP1B
RPL13A,PARK7,GSTK1,EIF4A1,RHOA
RPL18A,ACO1,DNAJA2,RPS24,RHOC
RPL22,NDUFA9,RRAS,EIF2S2,RHOG
RPL24,ATP5PB,CCT7,RRAS,RPS2
RPL4,AIFM1,DNAJA1,PPP2R2A,RPS3
RPL5,NDUFA11,HRAS,HRAS,RPS5
RPL6,ACO2,QO2,EIF3E,RPS9
RPL7,NDUFA8,PPIB,PABPC1,RPS16
RPL7A,,DNAJB4,EIF4A2,RPS20
RPL9,,,RPS2,RPS21
RPS16,,,EIF3G,RPS24
RPS2,,,,RPS4Y1
RPS20,,,,RRAS
RPS24,,,,
RPS3,,,,
RPS4Y1,,,,
RPS9,,,,
RRAS,,,,
