Space flight vs. ground control
Symbol,Fold change,P<,Symbol,Fold change,P<
Acacb,−1.2,0.350,Klf4,−1.3,0.443
Adig,−1.1,0.599,Lep,−1.1,0.603
Adipoq,−1.4,0.030,Lipe,−1.1,0.347
Adrb2,−1.1,0.703,Lmna,−1,0.909
Agt,−1,0.919,Lpl,−1,0.988
Angpt2,−1.1,0.695,Lrp5,−1,0.715
Axin1b,−1.2,0.101,Mapk14,−1,0.776
Bmp2a,−1.2,0.160,Ncoa2,−1.1,0.182
Bmp4b,1.2,0.296,Ncor2,1.2,0.195
Bmp7,1.1,0.412,Nr0b2,−1.3,0.229
Ccnd1,−1,0.983,Nr1h3,1.1,0.334
Cdk4,−1.5,0.003,Nrf1,−1.4,0.029
Cdkn1a,2.4,0.002,Ppara,−1.7,0.073
Cdkn1b,1.1,0.350,Ppard,−1.5,0.064
Cebpa,−1.1,0.261,Pparg,1,0.786
Cebpb,1,0.911,Ppargc1a,−2,0.004
Cebpd,1.2,0.368,Ppargc1b,1.2,0.194
Cfd,2.2,0.007,Prdm16,−1,0.773
Creb1,−1.1,0.168,Rb1,−1,0.863
Ddit3,1.2,0.223,Retn,−1.4,0.066
Dio2b,−1.2,0.507,Runx1t1,−1.3,0.081
Dkk1,1.4,0.509,Rxraa,−1,0.528
Dlk1,1.2,0.411,Sfrp1,1.3,0.156
E2f1,−1.5,0.108,Sfrp5b,1.3,0.347
Egr2,−1.6,0.118,Shh,−1.4,0.186
Fabp4,−1,0.727,Sirt1,−1.1,0.441
Fasn,−1.1,0.715,Sirt2,−1,0.565
Fgf1b,1.6,0.021,Sirt3,−1.2,0.123
Fgf10,−1.3,0.191,Slc2a4a,1.1,0.639
Fgf2,1.5,0.050,Src,1,0.665
Foxc2,−1.8,0.079,Srebf1,1.2,0.215
Foxo1,1,0.760,Taz,−1.3,0.004
Gata2,−1.2,0.139,Tcf7l2,1.3,0.036
Gata3,−1.3,0.609,Tsc22d3,1.2,0.048
Hes1,1.1,0.609,Twist1,−1.1,0.446
Insr,−1,0.524,Ucp1,1.5,0.021
Irs1,−1.5,0.051,Vdrb,−1.2,0.098
Irs2,−2,0.019,Wnt1b,−1.3,0.351
Jun,−1.5,0.114,Wnt10bb,−1.3,0.147
Klf15,−1.1,0.598,Wnt3a,−1.5,0.107
Klf2,−1.2,0.159,Wnt5a,1,0.944
Klf3,−1.2,0.063,Wnt5b,1.3,0.290
