Space flightvs.ground control
Symbol,Fold change,P<,Symbol,Fold change,P<
Acacb,4,0.001,Klf4,1.1,0.291
Adig,1.4,0.014,Lep,−1.4,0.662
Adipoq,−1.1,0.414,Lipe,1,0.932
Adrb2a,1.5,0.107,Lmna,1.3,0.042
Agt,1.1,0.635,Lpl,−1.2,0.145
Angpt2,−1.5,0.102,Lrp5,1.1,0.518
Axin1,1.5,0.117,Mapk14,1.7,0.002
Bmp2,2.9,0.020,Ncoa2,1.3,0.102
Bmp4a,−1.2,0.945,Ncor2,1.3,0.480
Bmp7,3.5,0.030,Nr0b2,2.4,0.048
Ccnd1,1.8,0.008,Nr1h3,1.5,0.001
Cdk4,1.2,0.212,Nrf1,2.1,0.046
Cdkn1a,3,0.001,Pparaa,1.7,0.121
Cdkn1b,1.3,0.104,Pparda,2,0.003
Cebpa,1,0.708,Pparg,1.3,0.031
Cebpb,2.2,0.003,Ppargc1a,2.1,0.098
Cebpd,1.3,0.193,Ppargc1b,2.4,0.003
Cfd,2.3,0.002,Prdm16,2.2,0.063
Creb1,1.8,0.003,Rb1,1.1,0.095
Ddit3,1.3,0.102,Retn,1.6,0.046
Dio2,5.5,0.042,Runx1t1a,3.2,0.009
Dkk1b,3.5,0.108,Rxra,1.6,0.067
Dlk1b,2.8,0.077,Sfrp1a,−1,0.957
E2f1,1.7,0.106,Sfrp5a,1.3,0.709
Egr2b,1.8,0.194,Shh,5,0.014
Fabp4,1.2,0.094,Sirt1,1.5,0.072
Fasn,2.5,0.009,Sirt2,1.2,0.049
Fgf1,1.3,0.840,Sirt3,2,0.033
Fgf10,1.1,0.516,Slc2a4,2.2,0.002
Fgf2,−1.1,0.872,Srca,2.2,0.018
Foxc2b,2,0.102,Srebf1,2.5,<0.001
Foxo1,1.3,0.040,Taz,1.5,0.051
Gata2,2.4,0.064,Tcf7l2,1.6,0.007
Gata3,4.5,0.079,Tsc22d3,−1,0.726
Hes1a,2.7,0.102,Twist1,1.6,0.022
Insr,1.3,0.089,Ucp1a,29.3,0.122
Irs1,1,0.881,Vdrb,3,0.145
Irs2,−1.3,0.400,Wnt1b,2.9,0.080
Jun,−1.6,0.132,Wnt10bb,4.1,0.210
Klf15,−1.2,0.329,Wnt3ab,4.2,0.075
Klf2,−1.2,0.186,Wnt5a,1.9,0.052
Klf3,1.1,0.752,Wnt5bb,2.2,0.112
