Name,Origin *,# of Sequences,Date of Access,Data Set
Naganishia tulchinskyi(n= 4),This study,,,Assembly
Naganishia cerealis,UniProt,3,4/5/21,Protein sequences
Naganishia diffluens,UniProt,7,4/5/21,Protein sequences
Naganishia liquefaciens,UniProt,4,4/5/21,Protein sequences
Naganishiasp.,UniProt,3,4/5/21,Protein sequences
Cryptococcus neoformans var grubii,UniProt,65,4/5/21,Protein sequences
Cryptococcus neoformans var neoformans,UniProt,370,4/5/21,Protein sequences
Cryptococcus neoformans var grubii,ESTdb,69,3/31/21,Transcriptome
Cryptococcus neoformans var neoformans,ESTdb,"74,724",3/31/21,Transcriptome
Cryptococcus vishniacci (Naganishia vishniacii),ESTdb,37,3/31/21,Transcriptome
Papiliotrema laurentii(n= 2),This study,,,Assembly
