Carbon Source,Naganishia tulchinskyi(This Study),N. vaughanmartiniaea,N. onofriia,N. saitoib,N. friedmanniib,N. qatarensisc,N. cerealisd,N. randhawaee,N. globosab
IF6SW-B1,IF7SW-B1,IF1SW-F1,IIF5SW-F1
Growth at:,,,,,,,,,,,,
,4 °C,+,+,+,+,+,+,NT,+,NT,NT,NT,NT
,25 °C,+,+,+,+,+,+,+,-,+,+,+,+
,30 °C,+,+,+,+,-,-,+,-,+,+,+,+
,35 °C,-,-,-,-,-,-,-,-,+,-,-,-
Differential characteristics among variousNaganishiaspecies
,D-Arabinose,+,+,+,+,+,+,-,-,+,+,w,-
,D-Ribose,+,+,+,+,+,v,v,-,+,v,-,-
,L-Sorbose,+,+,+,+,v,v,-,-,+,+,-,-
,D-Mannitol,+,+,+,-,NT,NT,NT,-,+,+,+,+
,α-D-Glucose,+,+,+,+,+,+,+,+,-,NT,NT,NT
,L-Arabinose,+,+,+,+,+,+,+,+,+,w,w,-
,Salicin,-,+,+,+,+,+,+,+,-,NT,NT,NT
,D-Trehalose,+,+,-,+,+,+,+,+,-,NT,NT,NT
,Maltose,+,+,+,-,+,+,+,+,-,NT,NT,NT
,D-Xylose,+,+,-,+,+,+,+,+,-,NT,NT,NT
,Sucrose,+,+,-,+,+,+,+,v,-,NT,NT,NT
,Cellobiose,-,-,-,-,+,+,+,+,-,NT,NT,NT
,Arbutin,-,-,-,-,+,+,NT,NT,-,NT,NT,NT
,D-Galactose,-,-,-,-,+,+,-/w,-,+,+,+,w
,Glycerol,-,-,-,-,v,+,-/s,-,+,-,-,-
,Hexadecane,-,-,-,-,-,-,NT,NT,NT,NT,NT,NT
,L-Malic acid,-,-,-,-,-,-,+,v,NT,NT,NT,NT
,L-Rhamnose,-,-,-,-,+,+,+,-,+,+,+,+
,Lactose,-,-,-,-,v,+,v,-,+,+,+,v
,Mannitol,-,-,-,-,+,+,+,-,+,-,+,-
,Melezitose,-,-,-,-,+,+,+,+,-,NT,NT,NT
,Methyl a-glucoside,-,-,-,-,+,+,+,v,-,NT,NT,NT
,Myo-inositol,-,-,-,-,v,+,+,-,+,+,+,+
,Raffinose,-,-,-,-,-/w,+,-/w,-,+,w,+,w
,Xylitol,-,-,-,-,+,+,-,-,+,+,+,-
,Citrate,-,-,-,-,-,-,+,v,-,-,-,+
,Melibiose,-,-,-,-,-,-,-,-,+,-,-,-
,Meso erythritol,-,-,-,-,-,-,-,-,w,-,-,-
,Glucono D-lactone,-,-,-,-,-,v,NT,NT,+,+,-,NT
,N-acetyl D-glucosamine,-,-,-,-,-,-,NT,NT,-,NT,NT,NT
Common characteristics amongN. tulchinskyistrains
,D-Cellobiose,+,+,+,+,,,,,,,,
,Succinic Acid Mono-Methyl Ester plus D-Xylose,+,+,+,+,,,,,,,,
,Palatinose,+,+,+,+,,,,,,,,
,Inulin,-,-,-,-,,,,,,,,
Differential characteristics amongN. tulchinskyistrains
,Gentiobiose,+,+,+,-,,,,,,,,
,D-Mannitol,+,+,+,-,,,,,,,,
,Maltose,+,+,+,-,,,,,,,,
,Acetic Acid,+,+,-,+,,,,,,,,
,Maltotriose,+,+,-,+,,,,,,,,
,Turanose,+,+,-,+,,,,,,,,
,D- Glucuronic Acid plus D-Xylose,+,+,-,+,,,,,,,,
,"1,2- Propanediol plus D-Xylose",+,+,-,+,,,,,,,,
,D-Trehalose,+,+,-,+,,,,,,,,
,D-Xylose,+,+,-,+,,,,,,,,
,Sucrose,+,+,-,+,,,,,,,,
,D-Melezitose,-,+,+,+,,,,,,,,
,Dextrin,-,+,+,+,,,,,,,,
,Propionic Acid,+,+,-,-,,,,,,,,
,D-Raffinose,-,-,+,-,,,,,,,,
,D-Sorbitol,-,-,+,-,,,,,,,,
