Experimental Conditions,Sample Type,In-Flight Changes,Post-Flight Changes,Methodology,References
Sampling campaigns carried out for the Skylab program on a total of 18 crewmembers. Research included pre-flight and post-flight monitoring.,"Gingival sulcus, dental plaque, and saliva.","Increase in counts of anaerobic bacteria of the oral microflora in-flight compared to pre-flight samples. None of these changes were, however, deemed hazardous to astronauts’ health. In-flight increments of dental plaque, calculus, and gingival inflammation were moderate.",There was a sparsity of preflight and postflight clinical problems.,Culture-dependent assessment,Brown (1976) [90]
Sampling campaigns carried out for the Skylab program. Samples were obtained immediately before and after each Skylab mission.,"Neck, ears, axillae, hands, navel, groin, toes, nose, throat, gargle, urine, feces.",n.a.,"Decrease in the diversity of the microbial communities, although the overall microbial count went up following space flight. Inter-crew transfer of pathogens.",Culture-dependent assessment,Taylor et al. (1971) [91]
"Mice were exposed to low LET γ radiation and high dietary iron, high LET38Si particles, and spaceflight (for 13 days).",Colonic mucosa,"Low LET radiation, IRON, and spaceflight induced distinct shifts in bacterial populations, but did not significantly elevate pathogenic genera.",n.a.,16S rRNA gene amplicon sequencing,Ritchie et al. (2015) [92]
Mice were exposed to high LET radiation.,Gut (fecal samples),"Substantial changes in the composition and functional potential of the gut microbiome, accompanied by changes in the abundance of multiple metabolites.",A distinct reorganization of the microbiota was observed at different doses as soon as 10 days post-radiation.,16S rRNA gene amplicon sequencing,Casero et al. (2017) [93]
520-day ground-based analog mission within an analogue Mars-surface habitat involving 6 crewmembers (MARS500 study). Analyses started before spaceflight and continued for 6 months after landing.,Gut (fecal samples),"Confinement determined a significant degree of temporal variability in the intestinal macrobiota. Individual specificity of the microbiota compositional layout was not compromised, however some key microbial components showed conserved temporal dynamics, with potential implications for the maintenance of a health-promoting, mutualistic microbiota configuration.","At the end of the mission, a return to the initial microbiota configuration was observed only in samples from 2 subjects, while new steady states were consolidated for the other crewmembers.",16S rRNA gene amplicon sequencing,Turroni et al. (2017) [94]
"105-day analog mission at the Chinese Lunar Palace 1, involving 3 crewmembers.","Gut (fecal samples), habitat environmental (air filters)",Observed convergence in the microbiota composition of crew members reflected the common living environment and lifestyle. The bioregenerative life-support system (BLSS)—dietary structure determined an increased intestinal microbiome diversity and richness.,Intestinal microbiome diversity reverted to pre-experiment levels.,16S rRNA gene amplicon sequencing,Hao et al. (2018) [95]
Mice were exposed to hypergravity (3G) for 21 days.,Caecaland colonic samples,"Hypergravity influenced intestinal microbiota composition, but without alteration in mucosal integrity.",n.a.,16S rRNA gene amplicon sequencing,Alauzet et al. (2019) [96]
"Comparative study of an astronaut who joined a 1-year mission on the ISS, and his identical twin who remained on Earth. (Twins Study.)",Gut (fecal samples). Various other health parameters were also measured,"Gut microbiota composition and function changed during spaceflight, but microbiome diversity remained unchanged.",Changes dissipated within a few weeks from landing.,Shotgun metagenome sequencing of genomic DNA,Garret-Bakelman et al. (2019) [97]
Mice were flown on the ISS for 37 days.,Gut (fecal samples),Gut macrobiome structure was altered during spaceflight. Richness of the microbial community was unchanged.,n.a.,16S rRNA gene amplicon sequencing,Jiang et al. (2019) [89]
9 Crewmembers on a 6- to 12-month mission on the ISS. Sampling began 240 days before flight to establish a baseline of microbiome variability and content.,"Gut (fecal samples), skin, nose, tongue","Spaceflight-dependent changes in the microbiome associated with the gastrointestinal tract, skin, nose, and tongue. Individual differences were observed in skin samples. The composition of the gut microbiota became more similar across astronauts in space, mostly due to a drop in the abundance of a few bacterial taxa.","Tongue: Many of the compositional changes reverted to preflight levels after the return to Earth.Nose, Gut and Skin: qualitative and quantitative changes in the microbial composition persisted for ~ 2 months in postflight samples.",16S rRNA gene amplicon sequencing,Voorhies et al. (2019) [98]
