RPM,revolution per minute
MIC,minimum inhibitory concentration
UTI,urinary tract infection
ISS,International Space Station
NASA,National Aeronautics and Space Administration
FPA,fluid processing apparatus
sµg,simulated microgravity
sLg,simulated Lunar gravity
sMg,simulated Martian gravity
mAUMg,hi-Pi modified artificial urine medium (high concentration of phosphate)
OD,optical density
PFA,paraformaldehyde
ANOVA,Analysis of Variance
Nm,nanometer
µm,micrometer
wrt,with respect to
EcAMSat,Esherichia coli Antimicrobial Satellite
