Product name,Source,Mechanism of action,Status,Funding agency(ies),Reference(s)
""
JP4–039,University of Pittsburgh,Anti-apoptotic,R&D,"NIAID, NCI, NASA","(Goff et al., 2011)"
sPIF‡,BioIncept,Anti-apoptotic,R&D,NIAID,"(Shainer et al., 2016)"
Genistein,Various,Anti-apoptotic,GRAS,NIAID,"(Prasanna et al., 2015;Day et al., 2008;Citrin et al., 2017;Zakeri et al., 2019)"
CX-01,"Ceramedix Holding, LLC",Anti-apoptotic,R&D,NIAID,"(Rotolo et al., 2012)"
BIO300,Humanetics,Anti-apoptoticSOD-mimetic,R&D,"NASA, NCI NIAID","(Zakeri et al., 2019;Singh and Seed, 2020)"
BMX-001,"BioMimetix, JV, LLC",Anti-apoptoticSOD-mimetic,R&D,NCI,"(Zakeri et al., 2019)"
GC4419,Galera Therapeutics,Anti-apoptoticSOD-mimetic,R&D,"NCI, NASA","(Anderson et al., 2018)"
"AEOL-10,150",Aeolus Pharmaceuticals,Anti-apoptoticSOD-mimetic,R&D,"NIAID, NCI","(Murigi et al., 2015;MacVittie et al., 2017;Sonis, 2001)"
Fluoroquinolones,Generic,Antibiotic,Licensed,NIAID,"(Kim et al., 2009)"
Minocycline,Generic,Antibiotic,Licensed,"NASA, NCI","(Mehrotra et al., 2013;Zhang et al., 2014)"
Tetracyclines,Generic,Antibiotic,Licensed,NIAID,"(Epperly et al., 2010)"
Aspirin,Generic,Anti-inflammatory,Licensed,NASA,"(Qiao et al., 2018;Mitrugno et al., 2017;Camara Planek et al., 2020)"
CDDO-ME,Various,Anti-inflammatory,R&D,NASA NCI,"(Eskiocak et al., 2010;El-Ashmawy et al., 2014)"
Celecoxib,Generic,Anti-inflammatory,Licensed,NIAID,"(Hunter et al., 2013)"
Bowman-Birk Inhibitor,University of Pennsylvania,Anti-inflammatory,GRAS (soybean-derived),"NASA, NCI","(Shaghagi et al., 2021;Kennedy, 2021)"
Curcumin,University of Rochester,Anti-oxidant,GRAS†,"NCI, NIAID","(Amini et al., 2018;Jelveh et al., 2013)"
Flaxseed (dietary-derived),Various,Anti-oxidant,GRAS,"NCI, NASA, NIAID","(Lee et al., 2009;Christofidou-Solomidou et al., 2011)"
LGM2605 (synthetic flaxseed derivative),LignaMed,Anti-oxidant,R&D,"NASA, NIAID","(Lee et al., 2009;Christofidou-Solomidou et al., 2011)"
"Vitamins (A, C, E)",Various,Anti-oxidant,Nutraceutical,"NASA, NCI, NIAID","(Yoo et al., 2014)"
Ketones,T Delta S,Anti-oxidant,GRAS,"NIAID, NCI","(Klement, 2018)"
Enterade,University of Florida,Increased GI absorption,Nutraceutical,"NASA, NIAID","(Yin et al., 2014;Gupta et al., 2020)"
ABT263,University of Arkansas for Medical Science,Senolytic,R&D,"NCI, NIAID","(Chang et al., 2016)"
