ICP,Intracranial hypertension
VIIP,Visual impairment intracranial pressure
GC,Ground control
SPC,Space flown
HSP-90β,Heat shock protein-90 beta
SPARC,Secreted protein acidic and rich in cysteine
CNS,Central nervous system
OLPs,Oligodendrocyte progenitors
Sim-μG,Simulated microgravity
μG,Microgravity
GC,Ground control
NSCs,Neural stem cells
DM,Dorsomorphin
OSM,Oligodendrocyte specification medium
OSMc,Oligodendrocyte specification medium complete
OSMb,Oligodendrocyte specification medium basal
WM,Welcoming medium
ISS,International space station
STAaRS F-1,Space technology and advanced research system experiment Facility-1
LCC,Long cell cycle
SCC,Short cell cycle
TL,Time lapse
OL,Oligodendroglia
RPMs,Random positioning machines
ER,Endothelial reticulum
