Signaling Pathways,Gene Names
Signal transduction,"ARHGAP9,CCL2,CCNC,CHN1,CLTB,COL4A4,CREB1,CRHR1,CTNNBIP1,HIF1A,KIDINS220,NFATC1,PDPK1,SOS2,THBS3,YES1"
Immune system,"ATF2,BIRC2,CREB1,EIF4E2,IL7,NFATC1,PDPK1,UBA5,UBR4,XAF1,YES1"
Gene expression,"AARS2,CCNC,RRN3,ZNF184,ZNF253,ZNF529,ZNF606,ZNF664,ZNF699,ZNF711"
Metabolism,"ACSL4,ARSK,CCNC,GM2A,GPT,HACL1,NDUFA1,PIKFYVE,PSAT1"
Metabolism of proteins,"ARSK,CCL2,DPP4,GNE,MAGT1,PCSK1,SPON2,XRN2"
Generic transcription pathway,"CCNC,ZNF184,ZNF253,ZNF529,ZNF606,ZNF664,ZNF699,ZNF711"
Developmental biology,"CCNC,CLTB,COL4A4,CREB1,SCN2B,SOS2,YES1"
Metabolism of lipids and lipoproteins,"ACSL4,ARSK,CCNC,GM2A,HACL1,PIKFYVE"
Axon guidance,"CLTB,COL4A4,CREB1,SCN2B,SOS2,YES1"
Innate immune system,"ATF2,BIRC2,CREB1,NFATC1,PDPK1,YES1"
Disease,"CCNC,CHMP4C,CREB1,CTNNBIP1,HIF1A,PDPK1"
