Disease/Disorder,Genes
Malignant Neoplasm of Breast,"THBS3,UBR4,ATF2,NBN,CRHR1,AREG,HIF1A,PDPK1,COL7A1,ZNF404,BIRC2"
Colorectal Carcinoma,"POSTN,SACS,FANCG,XAF1,ACSL4,INTS13,COL7A1,NFATC1,C12ORF76,NDUFA1"
Malignant Neoplasm of Prostate,"GREB1,HMGN5,SPON2,HIF1A,CRYL1,CASZ1,ACSL4,NBN"
Prostatic Neoplasms,"CASZ1,NBN,GREB1,HIF1A,CRYL1,ACSL4,SPON2,HMGN5"
Schizophrenia,"PSAT1,BTBD9,CFAP65,CREB1,CCL2,HSPA12A,DKK3,VRK2"
Breast Carcinoma,"BIRC2,COL7A1,ZNF404,HIF1A,AREG,CRHR1,PDPK1"
"Mammary Carcinoma, Human","AREG,COL7A1,HIF1A,CRHR1,ZNF404,PDPK1,BIRC2"
Mammary Neoplasms,"AREG,COL7A1,PDPK1,ZNF404,CRHR1,HIF1A,BIRC2"
"Mammary Neoplasms, Human","ZNF404,COL7A1,PDPK1,CRHR1,BIRC2,HIF1A,AREG"
Unipolar Depression,"CCL2,PEA15,HIF1A,CRHR1,CREB1,ACSL4"
"Liver Cirrhosis, Experimental","GPT,TM6SF1,SGCB,ARHGAP9,CCL2"
Major Depressive Disorder,"HIF1A,CRHR1,PEA15,CCL2,CREB1"
Non-small Cell Lung Carcinoma,"E2F8,PSAT1,AREG,HIF1A,COL7A1"
Bipolar Disorder,"HIF1A,CRHR1,CREB1,HMGXB4"
Chemical And Drug Induced Liver Injury,"HACL1,GPT,UBA5,CCL2"
Chemical-induced Liver Toxicity,"HACL1,UBA5,GPT,CCL2"
Depressive Disorder,"CREB1,CRHR1,DPP4,ACSL4"
Disease Exacerbation,"COL7A1,E2F8,ATF2,HIF1A"
Drug-induced Acute Liver Injury,"GPT,HACL1,CCL2,UBA5"
Drug-induced Liver Disease,"HACL1,GPT,CCL2,UBA5"
