Signaling Pathways,Gene Pairs
Signal transduction,"CCL2–COL4A4,CCL2–CREB1,CCL2–CRHR1,CCL2–THBS3,COL4A4–CREB1,CREB1–CRHR1,CREB1–THBS3,CTNNBIP1–NFATC1,KIDINS220–PDPK1,KIDINS220–SOS2,KIDINS220–YES1,NFATC1–THBS3"
Immune system,"ATF2–NFATC1,BIRC2–PDPK1,CREB1–EIF4E2,CREB1–IL7,CREB1–UBR4,CREB1–XAF1,EIF4E2–IL7,EIF4E2–XAF1,IL7–UBR4,NFATC1–UBR4,UBR4–XAF1"
Gene expression,"AARS2–ZNF606,RRN3–ZNF606"
Metabolism,"ACSL4–CCNC,ACSL4–NDUFA1,ACSL4–PIKFYVE,CCNC–PSAT1,GPT–PIKFYVE"
Metabolism of proteins,"CCL2–DPP4,CCL2–PCSK1,CCL2–SPON2,DPP4–GNE,MAGT1–PCSK1,PCSK1–SPON2"
Developmental biology,COL4A4–CREB1
Metabolism of lipids and lipoproteins,"ACSL4–CCNC,ACSL4–PIKFYVE"
Axon guidance,COL4A4–CREB1
Innate immune system,"ATF2–NFATC1,BIRC2–PDPK1"
Disease,CHMP4C–CREB1
