P. aeruginosagene no.,Orthologue inS.Typhimurium,Gene name,Gene function
PA2966,STM1196,acpP,Acyl carrier protein
PA3531,STM3443,bfrB,Bacterioferritin
PA3656,STM0216,rpsB,30S ribosomal protein S2
PA3744,STM2675,rimM,16S rRNA-processing protein
PA4031,STM4414,ppa,Inorganic pyrophosphatase
PA4053,STM0417,ribH,Riboflavin synthase subunit beta
PA4248,STM3425,rplF,50S ribosomal protein L6
PA4259,STM3436,rpsS,30S ribosomal protein S19
PA4261,STM3438,rplW,50S ribosomal protein L23
PA4262,STM3439,rplD,50S ribosomal protein L4
PA4268,STM3448,rpsL,30S ribosomal protein S12
PA4433,STM3345,rplM,50S ribosomal protein L13
PA4935,STM4391,rpsF,30S ribosomal protein S6
PA4944,STM4361,hfq,RNA binding protein Hfq
PA5128,STM3701,secB,Export protein SecB
