Gene no.,Gene name,Function,"Fold change, space/ground",Hfqa,O2a
PA0200,PA0200,Hypothetical protein,2.39,×,×
PA0492,PA0492,Hypothetical protein,0.26,,
PA0493,PA0493,Acetyl coenzyme A carboxylase,0.46,,
PA0518,nirM,Cytochromec551precursor,2.30,×,×
PA0519,nirS,Nitrite reductase precursor,2.98,×,×
PA0523,norC,Nitric oxide reductase subunit C,5.42,,×
PA0524,norB,Nitric oxide reductase subunit B,4.27,×,×
PA0525,PA0525,Probable dinitrification protein NorD,2.54,,×
PA0534,PA0534,Hypothetical protein,2.40,,
PA0567,PA0567,Hypothetical protein,0.47,,
PA0579,rpsU,30S ribosomal protein S21,0.28,,
PA0595,ostA,Organic solvent tolerance protein OstA precursor,0.50,,
PA0788,PA0788,Hypothetical protein,2.08,,
PA0856,PA0856,Hypothetical protein,0.36,,
PA0918,PA0918,Cytochromeb561,3.32,,×
PA1123,PA1123,Hypothetical protein,0.41,×,×
PA1156,nrdA,Ribonucleotide diphosphate reductase alpha subunit,0.48,×,
PA1183,dctA,C4-dicarboxylate transport protein,0.48,×,
PA1533,PA1533,Hypothetical protein,0.40,,
PA1552,PA1552,Probable cytochromec,0.38,,
PA1557,PA1557,Probable cytochrome oxidase subunit (cbb3-type),0.34,×,
PA1581,sdhC,Succinate dehydrogenase (C subunit),0.34,,
PA1582,sdhD,Succinate dehydrogenase (D subunit),0.38,,
PA1584,sdhB,Succinate dehydrogenase catalytic subunit,0.45,,
PA1610,fabA,3-Hydroxydecanoyl-acyl carrier protein dehydratase,0.45,×,
PA1776,sigX,ECF sigma factor SigX,0.44,×,
PA1800,tig,Trigger factor,0.45,,
PA1863,modA,Molybdate binding periplasmic protein precursor ModA,2.04,,
PA1887,PA1887,Hypothetical protein,2.08,,
PA1914,PA1914,Hypothetical protein,3.45,,
PA2003,bdhA,3-Hydroxybutyrate dehydrogenase,2.04,×,
PA2007,maiA,Maleylacetoacetate isomerase,2.02,,×
PA2009,hmgA,Homogentisate 1,2.24,,
PA2021,PA2021,Hypothetical protein,2.31,,
PA2024,PA2024,Probable ring-cleaving dioxygenase,2.48,,×
PA2225,PA2225,Hypothetical protein,2.03,×,
PA2247,bkdA1,2-Oxoisovalerate dehydrogenase (alpha subunit),2.23,×,
PA2248,bkdA2,2-Oxoisovalerate dehydrogenase (beta subunit),2.35,×,
PA2300,chiC,Chitinase,3.53,×,×
PA2321,PA2321,Gluconokinase,0.25,,
PA2453,PA2453,Hypothetical protein,0.40,×,
PA2570,palL,PA-I galactophilic lectin,6.32,,
PA2573,PA2573,Probable chemotaxis transducer,2.09,,×
PA2612,serS,Seryl-tRNA synthetase,0.48,,
PA2619,infA,Translation initiation factor IF-1,0.27,,
PA2620,clpA,ATP binding protease component ClpA,2.12,,
PA2634,PA2634,Isocitrate lyase,0.44,×,
PA2639,nuoD,NADH dehydrogenase I chain C,0.41,,
PA2662,PA2662,Hypothetical protein,2.74,,
PA2743,infC,Translation initiation factor IF-3,0.37,,
PA2747,PA2747,Hypothetical protein,0.46,×,
PA2753,PA2753,Hypothetical protein,2.34,×,×
PA2788,PA2788,Probable chemotaxis transducer,2.10,,
PA2851,efp,Elongation factor P,0.34,×,
PA2966,acpP,Acyl carrier protein,0.27,×,
PA2970,rpmF,50S ribosomal protein L32,0.27,,
PA2971,PA2971,Hypothetical protein,0.33,,
PA3001,PA3001,Glyceraldehyde-3-phosphate dehydrogenase,0.47,,
PA3162,rpsA,30S ribosomal protein S1,0.38,,
PA3307,PA3307,Hypothetical protein,3.12,,
PA3361,lecB,Fucose binding lectin PA-IIL,5.12,,
PA3369,PA3369,Hypothetical protein,0.46,×,
PA3391,nosR,Regulatory protein NosR,2.09,,×
PA3392,nosZ,Nitrous oxide reductase precursor,2.65,,×
PA3415,PA3415,Probable dihydrolipoamide acetyltransferase,2.75,,
PA3416,PA3416,Probable pyruvate dehydrogenase E1 component,2.17,,×
PA3417,PA3417,Probable pyruvate dehydrogenase E1 component,3.26,,×
PA3418,ldh,Leucine dehydrogenase,3.20,,×
PA3440,PA3440,Hypothetical protein,0.47,,
PA3476,rhlI,Autoinducer synthesis protein RhlI,0.48,,×
PA3479,rhlA,Rhamnosyltransferase chain A,2.75,×,×
PA3520,PA3520,Hypothetical protein,4.03,×,×
PA3531,bfrB,Bacterioferritin,0.47,,
PA3575,PA3575,Hypothetical protein,0.40,,
PA3621,fdxA,Ferredoxin I,0.36,×,
PA3644,lpxA,UDP-N-acetylglucosamine acyltransferase,0.49,,
