,,GO term name
Characteristics,Ontology,Transcript ID,Gene symbol,Gene description,FArg: GArgFC (log2),FArg: FWtFC (log2)
"Figure 4A, Category II, III 102 genes DIFFERENTIAL IN THE SPACEFLIGHT ADAPTATION IN ARG1 KO CELLS BUT SHOW NO DIFFERENTIAL EXPRESSION BETWEEN GENOTYPES WITHIN THE SPACEFLIGHT ENVIRONMENT",Cellular Component,cell periphery GO:0071944,,
plasma membrane GO:0005886,,
,cell-cell junction GO:0005911,,
,AT1G32950,,Subtilase family protein,3.3,
,AT1G11690,,,3.3,
,AT1G03920,,Protein kinase family protein,2.9,
,AT3G07320,,O-Glycosyl hydrolases family 17 protein,2.8,
,AT4G12770,,Chaperone DnaJ-domain superfamily protein,2.4,
,,AT2G38330,,MATE efflux family protein,1.7,
,,AT5G24970,,Protein kinase superfamily protein,1.6,
,,AT1G78820,,D-mannose binding lectin protein,1.2,
,,AT3G20410,CPK9,calmodulin-domain protein kinase 9,1.0,
,,AT3G13520,ATAGP12,arabinogalactan protein 12,−1.0,
,,AT1G60740,,Thioredoxin superfamily protein,−1.0,
,,AT5G65390,AGP7,arabinogalactan protein 7,−1.2,
,,AT5G15350,ENODL17,early nodulin-like protein 17,−1.2,
,,AT1G12950,RSH2,root hair specific 2,−1.5,
,,AT5G14920,,Gibberellin-regulated family protein,−1.6,
,,AT3G60270,,Cupredoxin superfamily protein,−3.2,
,,endomembrane system GO:0012505,,
,,Golgi apparatus GO:0005794,,
,,AT1G74680,,Exostosin family protein,2.4,
,,AT4G39890,RABH1c,RAB GTPase homolog H1C,1.4,
,,AT5G20280,SPSA1,sucrose phosphate synthase 1F,1.2,
,,AT1G49710,FUT12,fucosyltransferase 12,1.1,
,,AT4G08950,EXO,Phosphate-responsive 1 family protein,−1.1,
,,AT5G12140,CYS1,cystatin-1,−1.3,
,,AT3G52940,HYD2,Ergosterol biosynthesis ERG4/ERG24 family,−2.3,
,,membrane-bounded organelle GO:0043227,,
